fpr,tpr
0,0
0.001871595,0.001058593
0.01004593,0.036643936
0.023606503,0.057567212
0.024709448,0.076159998
0.066836756,0.118966403
0.139681577,0.124396294
0.188723938,0.130048974
0.199362808,0.140531099
0.208332075,0.142506093
0.260607311,0.171176745
0.271687214,0.172385764
0.2746867,0.19545571
0.296942284,0.231183554
0.298718563,0.255518841
0.306620628,0.26012424
0.378405447,0.268289825
0.409112743,0.273693121
0.418003967,0.284231087
0.418467652,0.284789941
0.420661334,0.302316793
0.431369032,0.309752701
0.45889983,0.326670901
0.46145418,0.406722137
0.474226697,0.414901254
0.484476351,0.42687709
0.501867112,0.475596797
0.529180605,0.501396959
0.538926274,0.50334905
0.540711362,0.505256489
0.54321922,0.549782659
0.579375196,0.596515932
0.590694255,0.626474364
0.590711935,0.65076735
0.594079583,0.65380176
0.608786877,0.68448173
0.616875786,0.690708928
0.631634239,0.699914233
0.643066909,0.755345589
0.689799818,0.82644645
0.755180919,0.847428751
0.830875615,0.872558177
0.881722089,0.906154994
0.928320099,0.912314171
0.930516814,0.940774977
0.939951023,0.974366164
0.944361123,0.981674905
0.949773191,0.983189399
0.952575262,0.984010592
1,1
