"node","sample_1_tau_1","sample_2_tau_1","sample_3_tau_1","sample_1_tau_0.333333333333333","sample_2_tau_0.333333333333333","sample_3_tau_0.333333333333333","sample_1_tau_0.2","sample_2_tau_0.2","sample_3_tau_0.2","sample_1_tau_0.142857142857143","sample_2_tau_0.142857142857143","sample_3_tau_0.142857142857143","sample_1_tau_0.111111111111111","sample_2_tau_0.111111111111111","sample_3_tau_0.111111111111111","eqn"
"ABF1",-0.0244997313231696,0.252950068948294,0.297506853970339,0.021210956155132,0.223232920897252,0.275499481931326,0.021210956155132,0.223232920897252,0.275499481931326,0.0521958919482378,0.215600286597108,0.433077556248645,0.0521958919482378,0.215600286597108,0.433077556248645,"input gene"
"ACC1",0.319014973237289,0.210412421369044,0.00212648597419033,0.197874851325674,0.0581286752050874,-0.051941771426332,0.197874851325674,0.0581286752050874,-0.051941771426332,0.21900318781186,0.168135871576016,0.00310426663314221,0.21900318781186,0.168135871576016,0.00310426663314221,"(((1 * fAct(INO2, 0.559048517001793, 1.23964335189434) * 1 * fAct(INO4, 0.444647015957162, 1.48908331262181))) * 1 - 1 * ACC1) / 0.111111111111111"
"ACE2",0.62101325490182,0.573997345690599,0.510288410422732,0.549944924221076,0.594980668399396,0.340434552633503,0.549944924221076,0.594980668399396,0.340434552633503,0.612981193409274,0.535714452908789,0.542572154410042,0.612981193409274,0.535714452908789,0.542572154410042,"input gene"
"ACS1",0.312840970529394,0.410129138177995,1.00951278310167,0.199698220399812,0.435102887465751,0.849351272354075,0.199698220399812,0.435102887465751,0.849351272354075,0.257501093295786,0.413879572340203,0.852298519506976,0.257501093295786,0.413879572340203,0.852298519506976,"((((1 - 1 * fAct(UME6, 0.470874050119892, 1.03661424341844)) + (1 * fAct(ABF1, 0.400937356194481, 1.3146644753241) * 1 * fAct(ADR1, 0.503039895324036, 1.03479707546299)) - (1 - 1 * fAct(UME6, 0.470874050119892, 1.03661424341844)) * (1 * fAct(ABF1, 0.400937356194481, 1.3146644753241) * 1 * fAct(ADR1, 0.503039895324036, 1.03479707546299)))) * 1 - 1 * ACS1) / 0.111111111111111"
"ADH1",-0.0317202824656327,-0.0241568231493272,0.0670105014682116,-0.0218274241917425,0.0232763662322392,0.0608737685917931,-0.0218274241917425,0.0232763662322392,0.0608737685917931,0.0724866418962902,0.0693278648219253,0.0224314784051575,0.0724866418962902,0.0693278648219253,0.0224314784051575,"((((1 * fAct(RAP1, 0.461343709146604, 1.42885982804) * ((1 * fAct(ABF1, 0.462243856862187, 1.29998967829626) * 1 * fAct(ADR1, 0.401520505920053, 1.67515824689763)) * 1 * fAct(SNF6, 0.406484708935022, 1.22931431350531))) * ((((1 - 1 * fAct(CAF16, 0.420533755701035, 1.05866496125469)) + (1 - 1 * fAct(CAF4, 0.484103786107153, 1.60636735119857)) - (1 - 1 * fAct(CAF16, 0.420533755701035, 1.05866496125469)) * (1 - 1 * fAct(CAF4, 0.484103786107153, 1.60636735119857))) + (1 - 1 * fAct(CCR4, 0.556700410041958, 1.33880157851381)) - ((1 - 1 * fAct(CAF16, 0.420533755701035, 1.05866496125469)) + (1 - 1 * fAct(CAF4, 0.484103786107153, 1.60636735119857)) - (1 - 1 * fAct(CAF16, 0.420533755701035, 1.05866496125469)) * (1 - 1 * fAct(CAF4, 0.484103786107153, 1.60636735119857))) * (1 - 1 * fAct(CCR4, 0.556700410041958, 1.33880157851381))) + (1 - 1 * fAct(POP2, 0.447057667933404, 1.60623747003963)) - (((1 - 1 * fAct(CAF16, 0.420533755701035, 1.05866496125469)) + (1 - 1 * fAct(CAF4, 0.484103786107153, 1.60636735119857)) - (1 - 1 * fAct(CAF16, 0.420533755701035, 1.05866496125469)) * (1 - 1 * fAct(CAF4, 0.484103786107153, 1.60636735119857))) + (1 - 1 * fAct(CCR4, 0.556700410041958, 1.33880157851381)) - ((1 - 1 * fAct(CAF16, 0.420533755701035, 1.05866496125469)) + (1 - 1 * fAct(CAF4, 0.484103786107153, 1.60636735119857)) - (1 - 1 * fAct(CAF16, 0.420533755701035, 1.05866496125469)) * (1 - 1 * fAct(CAF4, 0.484103786107153, 1.60636735119857))) * (1 - 1 * fAct(CCR4, 0.556700410041958, 1.33880157851381))) * (1 - 1 * fAct(POP2, 0.447057667933404, 1.60623747003963))))) * 1 - 1 * ADH1) / 0.111111111111111"
"ADH2",0.0805736057143952,-0.0609467225650544,0.0261990258776437,-0.0378254016789423,-0.0413664336021508,-0.0179466238588066,-0.0378254016789423,-0.0413664336021508,-0.0179466238588066,0.05911296331921,-0.0249409304750329,-0.0205856968898357,0.05911296331921,-0.0249409304750329,-0.0205856968898357,"(((1 * fAct(SIN3, 0.45663738087751, 1.44733801403316) * ((((1 * fAct(ADR1, 0.592549746111035, 1.41580738550285) * 1 * fAct(CCR4, 0.542408696375787, 1.36959526263643)) * 1 * fAct(SNF6, 0.475537301879376, 1.13684608062031)) * 1 * fAct(SPT21, 0.552405549678952, 1.38900646955706)) * 1 * fAct(TAF90, 0.424472844321281, 1.10887145449175)))) * 1 - 1 * ADH2) / 0.111111111111111"
"ADK1",0.344916752028229,0.265645052554875,-0.0645637522128011,0.402633929971339,0.26925299527349,-0.0081290125072139,0.402633929971339,0.26925299527349,-0.00812901250721392,0.422139360102515,0.315495323034005,0.0781753430619952,0.422139360102515,0.315495323034005,0.0781753430619952,"((1 * fAct(INO2, 0.547941219061613, 1.13853069816483)) * 1 - 1 * ADK1) / 0.111111111111111"
"ADR1",0.409647308566155,0.294493681455343,0.344078081606346,0.397641647882733,0.284581245578704,0.356324720779503,0.397641647882733,0.284581245578704,0.356324720779503,0.273086162698961,0.269316263213709,0.409863113056041,0.273086162698961,0.269316263213709,0.409863113056041,"input gene"
"ASH1",0.111831297839787,0.0510570424158591,0.238482189395286,0.122297476619636,0.0662553161408846,0.289085684371787,0.122297476619636,0.0662553161408846,0.289085684371787,0.0976556812628286,0.0763266625441112,0.402048913319374,0.0976556812628286,0.0763266625441112,0.402048913319374,"((1 * fAct(SWI5, 0.572704822523519, 1.44232678653439)) * 1 - 1 * ASH1) / 0.111111111111111"
"BAR1",0.227920933382023,0.0862110979350913,0.546939296450363,0.102140277122494,0.0401806848646773,0.60529921622169,0.102140277122494,0.0401806848646773,0.60529921622169,0.241459235109166,0.0283487819016675,0.525649725960991,0.241459235109166,0.0283487819016675,0.525649725960991,"(((1 * fAct(SIN3, 0.485206053312868, 1.24911005513277) * (1 - 1 * fAct(UME6, 0.599847618257627, 1.55110106919426)))) * 1 - 1 * BAR1) / 0.111111111111111"
