"from","to","weight","activation","EC50","n"
"A1_ALPHA2","FUS1",1,FALSE,0.442042898340151,1.40250487269135
"ABF1","ACS1",1,TRUE,0.44238119572401,1.48203806626843
"ABF1","ADH1",1,TRUE,0.58540108143352,1.49517834237777
"ABF1","CDC19",1,TRUE,0.536809344263747,1.21488650269341
"ABF1","COX6",1,TRUE,0.51464612763375,1.07792737894459
"ABF1","DED1",1,TRUE,0.417100200336427,1.46263614413561
"ABF1","PGK1",1,TRUE,0.404782355250791,1.02618917798623
"ABF1","POT1",1,TRUE,0.587258468195796,1.18744307875633
"ABF1","QCR8",1,TRUE,0.509394067293033,1.07391752562718
"ABF1","RPL4A",1,TRUE,0.537347386404872,1.41718826755416
"ABF1","RPL4B",1,TRUE,0.570248357066885,1.16003556674114
"ABF1","SPR3",1,TRUE,0.436974690342322,1.25955643634545
"ABF1","TUB2",1,TRUE,0.552487563760951,1.45750815489562
"ACE2","CDC6",1,FALSE,0.467996220523491,1.19624222994549
"ACE2","CTS1",1,TRUE,0.442150353267789,1.63214206128847
"ACE2","EGT2",1,TRUE,0.499725376442075,1.04355656749569
"ACE2","HO",1,TRUE,0.425704294908792,1.34864167516353
"ACE2","RME1",1,TRUE,0.412072263518348,1.50323569116881
"ADR1","ACS1",1,TRUE,0.554562456533313,1.36873121701181
"ADR1","ADH1",1,TRUE,0.547922874148935,1.58304276879644
"ADR1","ADH2",1,TRUE,0.566188144311309,1.45274406398414
"ADR1","CTA1",1,TRUE,0.596887572668493,1.51730188010726
"ADR1","FOX2",1,TRUE,0.532651200471446,1.07866065178532
"ADR1","GUT1",1,TRUE,0.515407217061147,1.58677152521908
"ADR1","PEX1",1,TRUE,0.465204292582348,1.25162481165258
"ADR1","POT1",1,TRUE,0.515366546623409,1.25304168016883
"ALPHA1","MFALPHA1",1,TRUE,0.462457506032661,1.11583954026457
"ALPHA1","STE3",1,TRUE,0.45691219959408,1.30769990705187
"ALPHA2","STE6",1,FALSE,0.548899563634768,1.0736488183029
"ARO80","ARO10",1,TRUE,0.557656873762608,1.52294733553426
"ARO80","ARO9",1,TRUE,0.421650197170675,1.34870033540996
"ASH1","MUC1",1,TRUE,0.467978414287791,1.08592710595112
"BAS1","ADE12",1,TRUE,0.589345778990537,1.1149595809821
"BAS1","ADE3",1,TRUE,0.401973430812359,1.3183760460373
"BAS1","ADE4",1,TRUE,0.556992263859138,1.59707330558915
"BAS1","ADE6",1,TRUE,0.456691816728562,1.33904827009188
"BAS1","HIS6",1,TRUE,0.445842195907608,1.55949919639854
"CAF16","ADH1",1,FALSE,0.598344928026199,1.0130597498198
"CAF16","FKS1",1,TRUE,0.437791116256267,1.39329632909503
"CAF16","HO",1,TRUE,0.523631648765877,1.41133064748021
"CAF4","ADH1",1,FALSE,0.584800392854959,1.46896583817201
"CAF4","FKS1",1,TRUE,0.499655041005462,1.14375046404777
"CAF4","GAL1",1,FALSE,0.573817151784897,1.19806135288905
"CAF4","HO",1,TRUE,0.576144190458581,1.41817487819353
"CAT8","ACS1",1,TRUE,0.415077523700893,1.18476327410433
"CAT8","CAT5",1,TRUE,0.450530563341454,1.2451956461696
"CAT8","IDP2",1,FALSE,0.554065867559984,1.54017866404029
"CAT8","JEN1",1,FALSE,0.436763271968812,1.13421823505079
"CAT8","MDH2",1,TRUE,0.482676529558375,1.02675783003215
"CBF1","CYT1",1,TRUE,0.40859576612711,1.19827150117839
"CBF1","GAL2",1,TRUE,0.579380157403648,1.22332543997327
"CBF1","MET14",1,TRUE,0.411959555093199,1.06302652414655
"CBF1","MET16",1,TRUE,0.455234502116218,1.07841011352837
"CBF1","MET17",1,FALSE,0.548764946963638,1.29396844408009
"CBF1","MET28",1,FALSE,0.543743742257357,1.17777501832927
"CBF1","MET8",1,TRUE,0.55810112785548,1.10446943271207
"CBF1","QCR8",1,FALSE,0.499697451572865,1.63814557819394
"CBF1","SAM2",1,TRUE,0.583818885497749,1.26123081128811
"CBF1","TRP1",1,TRUE,0.560148512898013,1.53170050345594
"CCR4","ADH1",1,FALSE,0.519570787716657,1.56671873165295
"CCR4","ADH2",1,TRUE,0.451266898820177,1.16410460451618
"CDC36","FUS1",1,FALSE,0.464134524948895,1.32046657302883
"CDC39","CYC1",1,FALSE,0.463824716024101,1.38684632063378
"CDC39","FUS1",1,FALSE,0.599698005383834,1.4366693852609
