from,to,weight,activation,EC50,n
GAL11,GAL7,1,TRUE,0.408730584,1.703670535
GAL11,MFALPHA1,1,TRUE,0.544789115,1.756114132
GAL4,FUR4,1,TRUE,0.576882152,1.755858858
GAL4,GAL1,1,TRUE,0.482203206,1.799210654
GAL4,GAL10,1,TRUE,0.403306039,1.785538533
GAL4,GAL2,1,TRUE,0.403795545,1.787003606
GAL4,GAL3,1,TRUE,0.400029473,1.693913417
GAL4,GAL7,1,TRUE,0.574224577,1.49814097
GAL4,GAL80,1,TRUE,0.445741166,1.704016312
GAL4,GCY1,1,TRUE,0.447867572,1.516964314
GAL4,LAP3,1,TRUE,0.479153641,1.566518818
GAL4,MEL1,1,TRUE,0.408394105,1.78301125
GAL4,MTH1,1,TRUE,0.511672607,1.646745998
GAL4,PCL10,1,TRUE,0.44494874,1.539584928
GAL4,PGM2,1,TRUE,0.577043134,1.507791407
GAT1,DAL80,1,TRUE,0.452398989,1.77983969
GAT1,DAL80_GZF3,1,TRUE,0.543852677,1.720832475
GAT1,GAP1,1,TRUE,0.518216707,1.536245672
GAT1,GLN1,1,TRUE,0.528545167,1.393778348
GCN4,ADE1,1,TRUE,0.590662668,1.463267982
GCN4,ADE2,1,TRUE,0.530813378,1.515940009
GCN4,ADE4,1,TRUE,0.59910373,1.469415944
GCN4,ADE5,1,TRUE,0.505875319,1.673346941
GCN4,ADE8,1,TRUE,0.433217032,1.414390222
GCN4,ARG1,1,TRUE,0.464766038,1.547183531
GCN4,ARG2,1,TRUE,0.455899179,1.41920324
GCN4,ARG3,1,TRUE,0.450337628,1.478576773
GCN4,ARG4,1,TRUE,0.558167527,1.676225879
GCN4,ARG5,1,TRUE,0.596246607,1.409423384
GCN4,ARG7,1,TRUE,0.537073395,1.496561675
GCN4,ARG8,1,TRUE,0.444390202,1.660988897
GCN4,ARO3,1,TRUE,0.498473782,1.680280743
GCN4,ARO4,1,TRUE,0.422402792,1.638779735
GCN4,ARO7,1,TRUE,0.455934864,1.524033958
GCN4,ASN1,1,TRUE,0.485818979,1.54010636
GCN4,ASN2,1,TRUE,0.58267622,1.513067817
GCN4,CPA1,1,TRUE,0.444730015,1.641330927
GCN4,CPA2,1,TRUE,0.471214121,1.761370958
GCN4,DAL1,1,TRUE,0.407342873,1.649223549
GCN4,DAL5,1,TRUE,0.580022047,1.548885379
GCN4,GCV3,1,TRUE,0.501254422,1.421346915
GCN4,GLN1,1,TRUE,0.417979584,1.425204336
GCN4,GLT1,1,TRUE,0.492914324,1.707135548
GCN4,HAL1,1,TRUE,0.483997637,1.588899314
GCN4,HIS1,1,TRUE,0.499799452,1.42631075
GCN4,HIS2,1,TRUE,0.579468015,1.483137042
GCN4,HIS3,1,TRUE,0.555487977,1.394914387
GCN4,HIS4,1,TRUE,0.415338237,1.440474863
GCN4,HIS5,1,TRUE,0.452003717,1.719079606
GCN4,HIS7,1,TRUE,0.551366601,1.469979541
GCN4,HOM2,1,TRUE,0.513996692,1.754900445
GCN4,HOM3,1,TRUE,0.429741209,1.472950926
GCN4,ILV1,1,TRUE,0.417586526,1.610846885
GCN4,ILV2,1,TRUE,0.471589474,1.65419911
GCN4,ILV5,1,TRUE,0.507571528,1.793416431
GCN4,KRS1,1,TRUE,0.41869392,1.759296315
GCN4,LEU3,1,TRUE,0.419023381,1.449101975
GCN4,LEU4,1,TRUE,0.460536497,1.562753952
GCN4,LPD1,1,TRUE,0.410511064,1.638470974
GCN4,LYS1,1,TRUE,0.570723136,1.502408189
GCN4,LYS2,1,TRUE,0.592665526,1.428939648
GCN4,MET16,1,TRUE,0.567545453,1.512410557
GCN4,MET17,1,TRUE,0.592668759,1.462209852
GCN4,MET4,1,TRUE,0.437206446,1.649458818
GCN4,PRO1,1,TRUE,0.486828143,1.399264532
GCN4,SER1,1,TRUE,0.570411753,1.577362054
GCN4,SHM2,1,TRUE,0.437986013,1.731486571
GCN4,THR1,1,TRUE,0.485055076,1.426309056
GCN4,TRP2,1,TRUE,0.512292167,1.719254388
GCN4,TRP3,1,TRUE,0.520463363,1.448005308
GCN4,TRP4,1,TRUE,0.497977127,1.630404371
GCN4,TRP5,1,TRUE,0.588749675,1.404117072
GCR1,ADH1,1,TRUE,0.517638121,1.717976204
GCR1,APA1,1,TRUE,0.550612563,1.588066204
GCR1,GLK1,1,TRUE,0.461859384,1.419925225
GCR1,GPM1,1,TRUE,0.456569132,1.492612878
GCR1,RPL24A,1,TRUE,0.432276871,1.60640471
GCR1,RPS14A,1,TRUE,0.477961315,1.768338678
GCR1,RPS14B,1,TRUE,0.466499692,1.794885511
GCR1,SUR4,1,TRUE,0.447626071,1.666444343
GCR1,TEF1,1,TRUE,0.562209221,1.733367709
GCR1,TEF2,1,TRUE,0.524921219,1.695651079
GIS1,PHR1,1,FALSE,0.471813104,1.538944651
GLN3,ASP3A,1,TRUE,0.406332922,1.723089442
GLN3,ASP3B,1,TRUE,0.440676694,1.550856858
GLN3,ASP3C,1,TRUE,0.497566292,1.556405038
GLN3,ASP3D,1,TRUE,0.587743195,1.53818193
GLN3,CAN1,1,TRUE,0.407324186,1.700417583
GLN3,DAL1,1,TRUE,0.427397675,1.685943848
GLN3,DAL2,1,TRUE,0.450118849,1.793384476
GLN3,DAL3,1,TRUE,0.414687381,1.528754
GLN3,DAL4,1,TRUE,0.444605966,1.6383369
GLN3,DAL5,1,TRUE,0.522913772,1.577401149
GLN3,DAL7,1,TRUE,0.44856056,1.429550309
GLN3,DAL80,1,TRUE,0.401675859,1.692367203
GLN3,DAL80_GZF3,1,TRUE,0.513564967,1.502352058
GLN3,DCG1,1,TRUE,0.510879756,1.790361769
GLN3,DUR1,1,TRUE,0.520857876,1.698269612
GLN3,DUR3,1,TRUE,0.425008042,1.761093774
GLN3,FUR4,1,TRUE,0.578592776,1.416340406
GLN3,GAP1,1,TRUE,0.442181538,1.444606008
GLN3,GAT1,1,TRUE,0.404177316,1.632360652
GLN3,GDH1,1,TRUE,0.590433901,1.65420974
GLN3,GDH2,1,TRUE,0.522615484,1.665356978
GLN3,GLN1,1,TRUE,0.476507752,1.518426126
GLN3,GLT1,1,TRUE,0.422706364,1.759123562
GLN3,PRB1,1,TRUE,0.530310486,1.47968658
GLN3,PUT1,1,TRUE,0.438873948,1.668800627
GLN3,PUT2,1,TRUE,0.545751128,1.417172935
GLN3,PUT4,1,TRUE,0.497588175,1.45245532
GLN3,UGA1,1,TRUE,0.409849717,1.726357797
GLN3,UGA4,1,TRUE,0.536637469,1.515628254
HAL9,ENA1,1,TRUE,0.469077427,1.433271485
HAP1,ACO1,1,TRUE,0.419805042,1.66907541
HAP1,CTT1,1,TRUE,0.540195463,1.528767385
HAP1,CYB2,1,TRUE,0.427077993,1.529049775
HAP1,CYC1,1,TRUE,0.47600454,1.600035732
HAP1,CYC7,1,TRUE,0.416248582,1.680216897
HAP1,CYT1,1,TRUE,0.579461056,1.608786475
HAP1,ERG11,1,TRUE,0.549434815,1.583940116
HAP1,HEM13,1,TRUE,0.598393541,1.498515232
