"from","to","activation","EC50","n","to_withhold"
"CAF16","FKS1",TRUE,0.434043733,1.438349963,TRUE
"CCR4","ADH2",TRUE,0.559193774,1.434162042,TRUE
"DAL80","GAT1",FALSE,0.481424162,1.725090763,TRUE
"GAL11","A1_ALPHA2",TRUE,0.521514644,1.410170036,TRUE
"GCN4","ARG4",TRUE,0.558167527,1.676225879,TRUE
"GCN4","CPA2",TRUE,0.471214121,1.761370958,TRUE
"GCR1","TEF2",TRUE,0.524921219,1.695651079,TRUE
"GLN3","DCG1",TRUE,0.510879756,1.790361769,TRUE
"HAP1","HYP2",TRUE,0.590803079,1.572239509,TRUE
"IME1","RIM11",TRUE,0.550046029,1.667934681,TRUE
"IME1","SPO11",TRUE,0.4094718,1.777291693,TRUE
"IME1","SPS2",TRUE,0.406518475,1.77430529,TRUE
"IME4","IME1_UME6",TRUE,0.429265236,1.751731681,TRUE
"INO2_INO4","INO2",TRUE,0.473751013,1.776098761,TRUE
"LYS14","LYS9",TRUE,0.474374051,1.42797957,TRUE
"MCM1","STE2",TRUE,0.526460906,1.764357575,TRUE
"MET4","MET3",TRUE,0.551132926,1.472831653,TRUE
"MIG1","HXT4",FALSE,0.545834724,1.487982757,TRUE
"MIG1","YLR042C",FALSE,0.554281788,1.585315416,TRUE
"MIG2","YKR075C",FALSE,0.491270881,1.732344282,TRUE
"MSN2","DDR2",TRUE,0.41141026,1.622410861,TRUE
"MSN2","PNC1",TRUE,0.52474758,1.433780332,TRUE
"MSN4","ARA1",TRUE,0.464888542,1.433381533,TRUE
"OAF1_PIP2","FOX2",TRUE,0.421641562,1.602487155,TRUE
"PDR3","IPT1",TRUE,0.438801934,1.427397065,TRUE
"PHO2","PHO8",TRUE,0.44361041,1.798582244,TRUE
"POP2","ADH1",FALSE,0.599251655,1.456114557,TRUE
"RAP1","ADH1",TRUE,0.55112759,1.668184967,TRUE
"RCS1","FIT1",TRUE,0.49610323,1.770535455,TRUE
"RGT1","HXT1",FALSE,0.472744806,1.586440019,TRUE
"RIM101","IME1_UME6",TRUE,0.589829719,1.579532475,TRUE
"RME1","CLN2",TRUE,0.537337383,1.40868809,TRUE
"RME1","IME1",FALSE,0.562046064,1.687386281,TRUE
"ROX1","COX5B",FALSE,0.455296599,1.708853908,TRUE
"ROX1","ERG11",FALSE,0.592728247,1.514088187,TRUE
"RPN4","PRE6",TRUE,0.509077387,1.485226958,TRUE
"SKN7","LYS20",TRUE,0.482385181,1.724477109,TRUE
"SNF6","ADH1",TRUE,0.482469798,1.690809276,TRUE
"STE12","MUC1",TRUE,0.510386282,1.704826921,TRUE
"STE12","YBR070C",TRUE,0.522189383,1.397002308,TRUE
"STE12","YHL021C",TRUE,0.454170858,1.709846897,TRUE
"SWI5","HO",TRUE,0.515474295,1.60872878,TRUE
"TEC1","KTR1",TRUE,0.55146481,1.584206104,TRUE
"TEC1","MPT5",TRUE,0.538355109,1.721736818,TRUE
"TEC1","SUT1",TRUE,0.54375442,1.611725103,TRUE
"THI2","THI6",TRUE,0.441145854,1.474328978,TRUE
"UME6","FOX2",FALSE,0.424523398,1.48987864,TRUE
"UME6","REC114",FALSE,0.409295833,1.453603663,TRUE
"XBP1","CLN3",FALSE,0.483142494,1.540824727,TRUE
"HAP2_3_4_5","COX6",TRUE,0.451106554,1.56055379,TRUE
"HAP2_3_4_5","CYT1",TRUE,0.410722637,1.443035595,TRUE
"HAP2_3_4_5","PET9",TRUE,0.465040504,1.530598352,TRUE
"HAP2_3_4_5","RPM2",TRUE,0.552910039,1.594024842,TRUE
"SNF2_SWI1","SAG1",TRUE,0.597613589,1.473490318,TRUE
