id,timepoint,cell_type
cell_319,7,regular
cell_320,9,regular
cell_321,0,regular
cell_322,2,regular
cell_323,3,regular
cell_324,7,regular
cell_325,9,regular
cell_326,0,regular
cell_327,2,regular
cell_328,3,regular
cell_329,7,regular
cell_330,9,regular
cell_331,0,regular
cell_332,2,regular
cell_333,3,regular
cell_334,7,regular
cell_335,9,regular
cell_336,0,regular
cell_337,2,regular
cell_338,3,regular
cell_339,7,regular
cell_340,9,regular
cell_341,0,regular
cell_342,2,regular
cell_343,3,regular
cell_344,7,regular
cell_345,9,regular
cell_346,0,regular
cell_347,2,regular
cell_348,3,regular
cell_349,7,regular
cell_350,9,regular
cell_351,0,regular
cell_352,2,regular
cell_353,3,regular
cell_354,7,regular
cell_355,9,regular
cell_356,0,regular
cell_357,2,regular
cell_358,3,regular
cell_359,7,regular
cell_360,9,regular
cell_361,0,regular
cell_362,2,regular
cell_363,3,regular
cell_364,7,regular
cell_365,9,regular
cell_366,0,regular
cell_367,2,regular
cell_368,3,regular
cell_369,7,regular
cell_370,9,regular
cell_371,0,regular
cell_372,2,regular
cell_373,3,regular
cell_374,7,regular
cell_375,9,regular
cell_376,0,regular
cell_377,2,regular
cell_378,3,regular
cell_379,7,regular
cell_380,9,regular
cell_381,0,regular
cell_382,2,regular
cell_383,3,regular
cell_384,7,regular
cell_385,9,regular
cell_386,0,regular
cell_387,2,regular
cell_388,3,regular
cell_389,7,regular
cell_390,9,regular
cell_391,0,regular
cell_392,2,regular
cell_393,3,regular
cell_394,7,regular
cell_395,9,regular
cell_396,0,regular
cell_397,2,regular
cell_398,3,regular
cell_399,7,regular
cell_400,9,regular
cell_401,0,regular
cell_402,2,regular
cell_403,3,regular
cell_404,7,regular
cell_405,9,regular
cell_406,0,regular
cell_407,2,regular
cell_408,3,regular
cell_409,7,regular
cell_410,9,regular
cell_411,0,regular
cell_412,2,regular
cell_413,3,regular
cell_414,7,regular
cell_415,9,regular
cell_416,0,regular
cell_417,2,regular
cell_418,3,regular
cell_419,7,regular
cell_420,9,regular
cell_421,0,regular
cell_422,2,regular
cell_423,3,regular
cell_424,7,regular
cell_425,9,regular
cell_426,0,regular
cell_427,2,regular
cell_428,3,regular
cell_429,7,regular
cell_430,9,regular
cell_431,0,regular
cell_432,2,regular
cell_433,3,regular
cell_434,7,regular
cell_435,9,regular
cell_436,0,regular
cell_437,2,regular
cell_438,3,regular
cell_439,7,regular
cell_440,9,regular
cell_441,0,regular
cell_442,2,regular
cell_443,3,regular
cell_444,7,regular
cell_445,9,regular
cell_446,0,regular
cell_447,2,regular
cell_448,3,regular
cell_449,7,regular
cell_450,9,regular
cell_451,0,regular
cell_452,2,regular
cell_453,3,regular
cell_454,7,regular
cell_455,9,regular
cell_456,0,regular
cell_457,2,regular
cell_458,3,regular
cell_459,7,regular
cell_460,9,regular
cell_461,0,regular
cell_462,2,regular
cell_463,3,regular
cell_464,7,regular
cell_465,9,regular
cell_466,0,regular
cell_467,2,regular
cell_468,3,regular
cell_469,7,regular
cell_470,9,regular
cell_471,0,regular
cell_472,2,regular
cell_473,3,regular
cell_474,7,regular
cell_475,9,regular
cell_476,0,regular
cell_477,2,regular
cell_478,3,regular
cell_479,7,regular
cell_480,9,regular
cell_481,0,regular
cell_482,2,regular
cell_483,3,regular
cell_484,7,regular
cell_485,9,regular
cell_486,0,regular
cell_487,2,regular
cell_488,3,regular
cell_489,7,regular
cell_490,9,regular
cell_491,0,regular
cell_492,2,regular
cell_493,3,regular
cell_494,7,regular
cell_495,9,regular
cell_496,0,regular
cell_497,2,regular
cell_498,3,regular
cell_499,7,regular
cell_500,9,regular
cell_501,0,regular
cell_502,2,regular
cell_503,3,regular
cell_504,7,regular
cell_505,9,regular
cell_506,0,regular
cell_507,2,regular
cell_508,3,regular
cell_509,7,regular
cell_510,9,regular
cell_511,0,regular
cell_512,2,regular
cell_513,3,regular
cell_514,7,regular
cell_515,9,regular
cell_516,0,regular
cell_517,2,regular
cell_518,3,regular
cell_519,7,regular
cell_520,9,regular
cell_521,0,regular
cell_522,2,regular
cell_523,3,regular
cell_524,7,regular
cell_525,9,regular
cell_526,0,regular
cell_527,2,regular
cell_528,3,regular
cell_529,7,regular
cell_530,9,regular
cell_531,0,regular
cell_532,2,regular
cell_533,3,regular
cell_534,7,regular
cell_535,9,regular
cell_536,0,regular
cell_537,2,regular
cell_538,3,regular
cell_539,7,regular
cell_540,9,regular
cell_541,0,regular
cell_542,2,regular
cell_543,3,regular
cell_544,7,regular
cell_545,9,regular
cell_546,0,regular
cell_547,2,regular
cell_548,3,regular
cell_549,7,regular
cell_550,9,regular
cell_551,0,regular
cell_552,2,regular
cell_553,3,regular
cell_554,7,regular
cell_555,9,regular
cell_556,0,regular
cell_557,2,regular
cell_558,3,regular
cell_559,7,regular
cell_560,9,regular
cell_561,0,regular
cell_562,2,regular
cell_563,3,regular
cell_564,7,regular
cell_565,9,regular
cell_566,0,regular
cell_567,2,regular
cell_568,3,regular
cell_569,7,regular
cell_570,9,regular
cell_571,0,regular
cell_572,2,regular
cell_573,3,regular
cell_574,7,regular
cell_575,9,regular
cell_576,0,regular
cell_577,2,regular
cell_578,3,regular
cell_579,7,regular
cell_580,9,regular
cell_581,0,regular
cell_582,2,regular
cell_583,3,regular
cell_584,7,regular
cell_585,9,regular
cell_586,0,regular
cell_587,2,regular
cell_588,3,regular
cell_589,7,regular
cell_590,9,regular
cell_591,0,regular
cell_592,2,regular
cell_593,3,regular
cell_594,7,regular
cell_595,9,regular
cell_596,0,regular
cell_597,2,regular
cell_598,3,regular
cell_599,7,regular
cell_600,9,regular
cell_601,0,regular
cell_602,2,regular
cell_603,3,regular
cell_604,7,regular
cell_605,9,regular
cell_606,0,regular
cell_607,2,regular
cell_608,3,regular
cell_609,7,regular
cell_610,9,regular
cell_611,0,regular
cell_612,2,regular
cell_613,3,regular
cell_614,7,regular
cell_615,9,regular
cell_616,0,regular
cell_617,2,regular
cell_618,3,regular
cell_619,7,regular
cell_620,9,regular
cell_621,0,regular
cell_622,2,regular
cell_623,3,regular
cell_624,7,regular
cell_625,9,regular
cell_626,0,regular
cell_627,2,regular
cell_628,3,regular
cell_629,7,regular
cell_630,9,regular
cell_631,0,regular
cell_632,2,regular
cell_633,3,regular
cell_634,7,regular
cell_635,9,regular
cell_636,0,regular
cell_637,2,regular
cell_638,3,regular
cell_639,7,regular
cell_640,9,regular
cell_641,0,regular
cell_642,2,regular
cell_643,3,regular
cell_644,7,regular
cell_645,9,regular
cell_646,0,regular
cell_647,2,regular
cell_648,3,regular
cell_649,7,regular
cell_650,9,regular
cell_651,0,regular
cell_652,2,regular
cell_653,3,regular
cell_654,7,regular
cell_655,9,regular
cell_656,0,regular
cell_657,2,regular
cell_658,3,regular
cell_659,7,regular
cell_660,9,regular
cell_661,0,regular
cell_662,2,regular
cell_663,3,regular
cell_664,7,regular
cell_665,9,regular
cell_666,0,regular
cell_667,2,regular
cell_668,3,regular
cell_669,7,regular
cell_670,9,regular
cell_671,0,regular
cell_672,2,regular
cell_673,3,regular
cell_674,7,regular
cell_675,9,regular
cell_676,0,regular
cell_677,2,regular
cell_678,3,regular
cell_679,7,regular
cell_680,9,regular
cell_681,0,regular
cell_682,2,regular
cell_683,3,regular
cell_684,7,regular
cell_685,9,regular
cell_686,0,regular
cell_687,2,regular
cell_688,3,regular
cell_689,7,regular
cell_690,9,regular
cell_691,0,regular
cell_692,2,regular
cell_693,3,regular
cell_694,7,regular
cell_695,9,regular
cell_696,0,regular
cell_697,2,regular
cell_698,3,regular
cell_699,7,regular
cell_700,9,regular
cell_701,0,regular
cell_702,2,regular
cell_703,3,regular
cell_704,7,regular
cell_705,9,regular
cell_706,0,regular
cell_707,2,regular
cell_708,3,regular
cell_709,7,regular
cell_710,9,regular
cell_711,0,regular
cell_712,2,regular
cell_713,3,regular
cell_714,7,regular
cell_715,9,regular
cell_716,0,regular
cell_717,2,regular
cell_718,3,regular
cell_719,7,regular
cell_720,9,regular
cell_721,0,regular
cell_722,2,regular
cell_723,3,regular
cell_724,7,regular
cell_725,9,regular
cell_726,0,regular
cell_727,2,regular
cell_728,3,regular
cell_729,7,regular
cell_730,9,regular
cell_731,0,regular
cell_732,2,regular
cell_733,3,regular
cell_734,7,regular
cell_735,9,regular
cell_736,0,regular
cell_737,2,regular
cell_738,3,regular
cell_739,7,regular
cell_740,9,regular
cell_741,0,regular
cell_742,2,regular
cell_743,3,regular
cell_744,7,regular
cell_745,9,regular
cell_746,0,regular
cell_747,2,regular
cell_748,3,regular
cell_749,7,regular
cell_750,9,regular
