"from","to","activation","EC50","n","to_withhold"
"ABF1","PGK1",TRUE,0.550187340704724,1.62763780919136,TRUE
"ALPHA1","STE3",TRUE,0.420347125548869,1.54317274748813,TRUE
"CBF1","CYT1",TRUE,0.488211535150185,1.59225464114686,TRUE
"CDC36","FUS1",FALSE,0.588340859021991,1.50772969665006,TRUE
"CRZ1","PMC1",TRUE,0.506642291042954,1.76981903414009,TRUE
"CUP2","SOD1",TRUE,0.581752211088315,1.46693789524259,TRUE
"DAL80","CAN1",FALSE,0.560438364930451,1.64624721780187,TRUE
"DAL80","DAL1",FALSE,0.487452674657106,1.65268862755038,TRUE
"GLN3","UGA1",TRUE,0.542208046233281,1.46223646323429,TRUE
"INO2_INO4","GUT1",TRUE,0.459895844291896,1.68093771960353,TRUE
"INO2_INO4","INO2",TRUE,0.579065960878506,1.46183082838776,TRUE
"LEU3","ILV2",TRUE,0.54576403060928,1.50892482949886,TRUE
"MOT3","HEM13",FALSE,0.497313085058704,1.43538896384649,TRUE
"RAP1","ADH1",TRUE,0.445904183667153,1.56500755796675,TRUE
"RAP1","GPD1",TRUE,0.402706736233085,1.75151582760271,TRUE
"REB1","ACT1",TRUE,0.468689054204151,1.69065294834087,TRUE
"RTG3","ACO1",TRUE,0.417345177568495,1.40270789078204,TRUE
"SIN3","PHO5",TRUE,0.558720755483955,1.74313803783152,TRUE
"SIN3","RME1",TRUE,0.454754902189598,1.4500708463043,TRUE
"SNF5","STA2",TRUE,0.437546854745597,1.55013131045038,TRUE
"SNF6","STA2",TRUE,0.468820848828182,1.43300854901085,TRUE
"SPT16","ACT1",TRUE,0.545518926205114,1.66378493600525,TRUE
"SPT5","HTA1",TRUE,0.536841600574553,1.78509290697984,TRUE
"SRB7","ACT1",TRUE,0.446452174754813,1.7268032284081,TRUE
"TUP1","STE6",FALSE,0.572846058150753,1.57793595320079,TRUE
"UME6","CAR2",FALSE,0.455593281658366,1.789287842419,TRUE
"XBP1","CLB2",FALSE,0.515579032711685,1.47349477303913,TRUE
"SNF2_SWI1","MFALPHA2",TRUE,0.524873854825273,1.77807420519879,TRUE
