pathway,phnx_z_score,mean_path_score,sd_path_score
module 9,0.034697152,0.17464325,0.035644135
module 20,2.072195441,0.12260386,0.029022909
module 21,-0.454936497,0.01806112,0.011146874
module 26,-1.116705335,0.21603423,0.039253175
module 35,0,0,0
module 36,0.105784183,0.17284166,0.034393989
module 37,0.857497235,0.63423932,0.062764844
module 48,0.221103001,0.44849837,0.057808487
module 49,0.741655413,0.3347457,0.045228956
module 56,-0.405753294,0.01706217,0.010036074
module 59,0.788308246,0.06631887,0.020501029
module 61,0.459765911,0.04050575,0.016930899
module 65,-0.780060359,0.03300174,0.015680505
module 67,-0.94625597,0.33111919,0.046043768
module 68,-1.156209498,0.08148323,0.024600412
module 69,-0.499163214,0.69220059,0.064869744
module 70,0.778190884,0.07838352,0.022958994
module 71,-0.942108792,0.06319945,0.021323917
module 89,-0.234950596,0.00441794,0.0053115
module 90,-0.365118555,0.01309522,0.009408506
module 95,-0.320003315,0.73353933,0.066809714
module 97,0.197722122,0.0849449,0.023594224
module 102,-0.38818425,0.01769803,0.011535836
module 105,-0.963290111,0.32349831,0.047657823
module 110,0,0,0
module 111,0.89429588,0.28492307,0.044444944
module 113,2.759159552,0.25136299,0.041591292
module 120,-1.285750644,0.11422345,0.026485268
module 126,2.011458371,0.26686612,0.042570545
module 127,-0.483540923,0.02217855,0.012302061
module 133,0,0,0
module 136,-0.444783731,0.61751983,0.062614318
module 138,0.48670651,0.19220912,0.036902897
module 141,-0.482415637,0.01800554,0.010852758
module 147,0.948018522,0.1264172,0.029538241
module 148,-0.825963724,0.03683493,0.015720945
module 153,0.164662347,0.10323612,0.026137609
module 154,-1.008558131,0.24694997,0.039720041
module 155,-0.374118029,0.01382875,0.010875579
module 156,-0.593286808,0.03585508,0.015886212
module 157,1.00255469,0.20232599,0.037198978
module 160,0,0,0
module 162,-0.64354242,0.04002345,0.016756393
module 163,-0.303193817,0.74325177,0.069697233
module 164,-1.21078444,0.13745412,0.030512549
module 166,-1.011059909,0.05914076,0.02004902
module 168,-0.693999794,0.03295584,0.016622253
module 169,-0.844265801,0.17142718,0.035915443
module 173,-0.79885132,0.04701302,0.018630526
module 174,1.289872679,0.19365802,0.037074962
module 175,-1.050329928,0.09272488,0.024320815
module 177,-1.303232799,0.1592389,0.032978682
module 179,-1.077679337,0.63404802,0.06482264
module 182,0.065526757,0.09129982,0.024572863
module 186,-0.801219047,0.04836388,0.017053863
module 189,-0.466085885,0.01808239,0.011226236
module 190,-0.489289635,0.02678274,0.013678483
module 191,6.34999398,0.06892448,0.02247773
module 192,7.88596827,0.17195386,0.034940461
module 195,16.60250984,0.19820326,0.036846413
module 203,-0.363393518,0.00859593,0.007088541
module 205,-1.538754529,0.44701317,0.055751693
module 206,-1.229530949,0.19964729,0.036182326
module 207,-1.215530482,0.26974662,0.03943679
module 214,-0.694366263,0.03744679,0.016744463
module 215,-0.532868593,0.02199129,0.011900289
module 218,-0.643422428,0.03662377,0.016791099
module 219,-0.57040143,0.02729236,0.014011816
module 222,-0.670070734,0.03110643,0.014455832
module 229,3.401446472,0.02710928,0.013370994
module 236,0.942894613,0.03932085,0.015854529
module 237,1.340930197,0.08212674,0.022934274
module 239,-0.914691817,0.06478633,0.021336509
module 240,-0.562972332,0.02677493,0.01386379
module 241,1.918206167,0.14867125,0.032102258
module 243,-0.96721181,0.07473047,0.021567634
module 245,-0.470930173,0.01800963,0.011168598
module 247,-1.111826169,0.10974109,0.029672885
module 248,-0.669765052,0.23217623,0.03823166
module 249,-0.721700766,0.03167051,0.015644309
module 255,-1.270178468,0.6003999,0.062581678
module 256,-0.860014633,0.05033299,0.020131041
module 257,-0.386696085,0.10953157,0.028320871
module 261,0.731537468,0.10017434,0.026021442
module 262,-0.094274302,0.06792699,0.021607055
module 267,-0.338711271,0.01375982,0.009948946
module 275,-0.553381396,0.03594944,0.016045787
module 277,-0.714562692,0.0494123,0.018294126
module 279,1.035529758,0.2187175,0.040841414
module 284,0.707944987,0.04980641,0.020896525
module 285,0.799041092,0.05019365,0.019456258
module 287,-0.889087048,0.10127071,0.026005001
module 291,2.086426608,0.13476507,0.030892498
module 297,-1.167908465,0.27034025,0.041082201
module 298,-1.144780138,0.08033441,0.023842491
module 299,-0.698094667,0.04376941,0.016630137
module 311,-0.690953526,0.03632172,0.015777791
module 313,-0.598651417,0.02662702,0.012790448
module 316,-1.169451118,0.11279764,0.028045328
module 317,-1.19473488,0.58182597,0.061826244
module 318,0.422391397,0.03104494,0.014287838
module 322,0.739310739,0.07995479,0.023082594
module 323,-0.41590913,0.01812608,0.011339208
module 326,-0.81386508,0.03994649,0.016927241
module 327,-0.827937885,0.05061809,0.019455675
module 328,-0.377438588,0.01746369,0.010951954
module 331,-0.926294759,0.05411462,0.018195742
module 332,3.383077391,0.02288449,0.012836097
module 333,-0.61931623,0.03122211,0.014793912
module 334,0.646024062,0.25875685,0.040111741
module 340,-0.643941942,0.04469846,0.017235187
module 341,0.344449752,0.10065244,0.027457009
module 346,-0.40617442,0.01717417,0.009636673
module 350,1.709499829,0.05556753,0.01994295
module 352,-0.355010367,0.00876468,0.007928445
module 355,-0.614914134,0.03096916,0.01427705
module 356,1.351163125,0.20698821,0.039145377
module 357,-1.196971701,0.27352001,0.043242468
module 358,0.422519411,0.07214424,0.023468176
module 366,-0.48701477,0.03156787,0.015067038
module 368,-0.588383334,0.02689341,0.013908297
module 377,-0.445370077,0.01299549,0.008881356
module 378,-1.281007946,0.57539718,0.058600089
module 381,-0.580469457,0.02246986,0.012162328
module 382,-0.782366349,0.05966842,0.021522424
module 389,-1.154341638,0.28172487,0.046966053
module 392,-0.456601651,0.01351734,0.009849592
module 396,-0.462185416,0.01797951,0.011271472
module 401,-0.534756676,0.04015945,0.016772956
module 402,-0.292189975,0.01339178,0.009828469
module 407,-0.580274208,0.03201356,0.016015807
module 408,-0.535513565,0.02277798,0.012806361
module 411,0.449848988,0.09884935,0.025032067
module 412,-0.500714364,0.02685397,0.01350864
module 415,-0.636687294,0.03553136,0.014907412
module 416,-0.831893669,0.05929347,0.021028493
module 417,-0.617361583,0.04441677,0.017537162
module 418,-1.142610492,0.10233516,0.026146408
module 421,-0.754045609,0.03699711,0.016414272
module 424,-0.631669083,0.03683017,0.016480417
module 426,1.847561925,0.17733514,0.034334362
module 427,-0.540666071,0.16966026,0.035419755
module 430,-0.802598587,0.05917325,0.020001593
module 431,-0.649920061,0.03922536,0.015271663
module 438,-1.677191523,0.19455096,0.036037005
module 445,-0.80731995,0.03649534,0.015787223
module 448,-0.239376724,0.047397,0.018660962
module 453,-0.752649443,0.04572382,0.018287159
module 455,-0.910011736,0.05714894,0.019317267
module 456,-0.577860135,0.19644279,0.037211063
module 457,1.0605489,0.01459197,0.010624715
module 458,1.196454382,0.09164807,0.025351514
module 459,-1.150317121,0.56800479,0.061761047
module 462,-0.817968147,0.0485709,0.017948009
module 465,-0.486925446,0.02641916,0.013203582
module 470,-0.536619786,0.0317499,0.013901649
module 471,-0.332437577,0.01375679,0.00991702
module 474,-0.613525058,0.03647539,0.016356936
module 478,-0.666903932,0.03598831,0.01496214
module 480,-1.203931405,0.14463517,0.030321636
module 481,-0.671097469,0.17149521,0.035241096
module 484,-0.725714874,0.04966438,0.01954539
module 486,-0.531519674,0.1688138,0.035019964
module 489,-0.953511985,0.04535003,0.017986171
module 491,-0.916546098,0.06288401,0.020788927
module 492,-0.365126857,0.01835771,0.011989559
module 493,0.125533175,0.0989797,0.025971621
module 495,-0.746449156,0.03605674,0.015241145
module 500,1.728335579,0.05356602,0.018632944
