gene,influence
CAPN11,2.58E-03
CAPN6,2.37E-03
CAPN9,2.02E-03
CASC1,1.59E-03
CASQ2,1.99E-03
CBLB,1.87E-03
CBLC,2.06E-03
CBS,2.59E-03
CBX7,2.11E-03
CCDC102B,2.20E-03
CCDC106,1.82E-03
CCDC144A,1.79E-03
CCDC170,2.38E-03
CCDC68,2.28E-03
CCDC7,1.81E-03
CCDC88A,1.70E-03
CCDC88C,2.14E-03
CCL13,1.79E-03
CCL14 /// CCL15-CCL14,2.46E-03
CCL18,2.31E-03
CCL19,2.17E-03
CCL2,2.00E-03
CCL20,1.58E-03
CCL21,2.00E-03
CCL22,2.73E-03
CCL23,2.09E-03
CCL5,2.28E-03
CCL7,2.22E-03
CCL8,1.98E-03
CCNA1,2.09E-03
CCNA2,2.59E-03
CCNB1,2.01E-03
CCNB2,2.30E-03
CCND1,2.33E-03
CCND2,2.36E-03
CCNE1,2.00E-03
CCNE2,2.14E-03
CCNL2,2.49E-03
CCNO,2.12E-03
CD163,2.25E-03
CD1B,2.05E-03
CD1C,1.71E-03
CD207,1.93E-03
CD22,1.83E-03
CD24,1.56E-03
CD247,2.08E-03
CD36,2.01E-03
CD38,2.16E-03
CD3G,1.88E-03
CD52,1.97E-03
CD72,1.81E-03
CDA,1.86E-03
CDADC1,1.94E-03
CDC20,1.88E-03
CDC25A,1.89E-03
CDC45,1.56E-03
CDC6,2.43E-03
CDCA3,2.72E-03
CDCA8,2.44E-03
CDH13,1.73E-03
CDH2,2.30E-03
CDH3,2.20E-03
CDH6,1.85E-03
CDK1,2.48E-03
CDK5R1,1.89E-03
CDK6,2.15E-03
CDKAL1,1.63E-03
CDKL3,2.11E-03
CDKN2A,2.37E-03
CDKN3,2.01E-03
CDON,2.06E-03
CDR1,1.93E-03
CDSN,2.09E-03
CDT1,1.71E-03
CEACAM5,2.49E-03
CEACAM6,1.53E-03
CEACAM7,1.85E-03
CEACAM8,1.90E-03
CEL,2.08E-03
CENPE,2.49E-03
CENPF,2.31E-03
CENPI,1.74E-03
CENPM,1.94E-03
CENPN,1.91E-03
CENPU,2.04E-03
CEP162,2.10E-03
CEP55,2.33E-03
CEP72,2.28E-03
CERS4,2.11E-03
CES1 /// LOC100653057,1.76E-03
CFB,1.68E-03
CFD,2.16E-03
CGA,1.96E-03
CGREF1,1.60E-03
CH25H,2.12E-03
CHAC1,2.11E-03
CHAD,1.88E-03
CHAF1B,2.18E-03
CHEK1,2.27E-03
CHI3L1,1.87E-03
CHIT1,2.20E-03
CHL1,1.69E-03
CHODL,1.37E-03
CHRD,1.62E-03
CHRDL1,2.05E-03
CHRM3,1.91E-03
CHST8,1.80E-03
CIDEA,1.86E-03
CILP,2.07E-03
CIRBP,1.88E-03
CITED1,2.11E-03
CKMT1A /// CKMT1B,2.09E-03
CKS2,2.64E-03
CLCA2,2.14E-03
CLCN4,2.19E-03
CLDN1,2.12E-03
CLDN3,1.73E-03
CLDN5,1.96E-03
CLDN8,1.89E-03
CLEC11A,2.14E-03
CLEC3B /// EXOSC7,2.43E-03
CLEC7A,1.89E-03
CLGN,1.77E-03
CLIC1P1 /// CLIC1P1,1.87E-03
CLIC3,1.79E-03
CLIP4,2.20E-03
CLPB,2.12E-03
CLSTN2,1.97E-03
CLU,1.71E-03
CMKLR1,2.07E-03
CNGA1,1.71E-03
CNGA3,1.65E-03
CNIH3,1.83E-03
CNKSR2,2.02E-03
CNN1,1.74E-03
CNTLN,1.84E-03
CNTNAP2,2.01E-03
COA1,2.16E-03
COBL,2.24E-03
COCH,2.39E-03
COL10A1,1.96E-03
COL11A1,2.10E-03
COL11A2,1.81E-03
COL14A1,1.59E-03
COL17A1,1.93E-03
COL1A1,2.26E-03
COL2A1,2.35E-03
COL3A1,2.06E-03
COL4A5,2.07E-03
COL4A6,2.13E-03
COL5A1,2.22E-03
COL5A2,1.63E-03
COL5A3,2.09E-03
COL6A1,2.14E-03
COL6A2,2.04E-03
COL6A3,2.02E-03
COL8A1,1.80E-03
COL8A2,1.90E-03
COL9A3,1.96E-03
COLEC11,2.06E-03
COMP,2.06E-03
CORIN,2.04E-03
CORO2B,1.91E-03
CP,1.25E-03
CPA3,1.89E-03
CPB1,2.33E-03
CPE,1.71E-03
CPEB3,2.13E-03
CPZ /// GPR78,1.46E-03
CRABP1,2.08E-03
CRABP2,2.23E-03
CRAT,1.89E-03
CREB3L1,2.09E-02
CRIP1,1.96E-03
CRISP3,1.72E-03
CRISPLD2,1.84E-03
CROT,2.33E-03
CRTAM,1.82E-03
CRY2,1.97E-03
CRYAB,2.06E-03
CSAD,1.89E-03
CSAG2 /// CSAG3,2.15E-03
CSF2RA,1.92E-03
CSF3R,1.76E-03
CSPG4,2.05E-03
CSRNP3,2.15E-03
CSRP2,2.21E-03
CST1,1.76E-03
CST2,2.00E-03
CST4,2.21E-03
CST5,1.97E-03
CSTA,2.18E-03
CT62,2.43E-03
CTLA4,2.24E-03
CTNND2,1.77E-03
CTPS1,2.37E-03
CTSC,2.10E-03
CTSG,2.10E-03
CTSK,2.14E-03
CTSV,1.48E-03
CTSW,2.03E-03
CUX2,9.37E-03
CWH43,1.79E-03
CX3CL1,1.86E-03
CX3CR1,2.28E-03
CXADR,2.26E-03
CXCL1,2.16E-03
CXCL10,2.45E-03
CXCL11,1.90E-03
CXCL13,2.04E-03
CXCL14,1.74E-03
CXCL2,2.50E-03
CXCL5,2.43E-03
CXCL6,2.25E-03
CXCL8,1.96E-03
CXCL9,1.81E-03
CXCR5,1.69E-03
CXorf57,1.96E-03
