gene,influence
LAPTM4B,2.25E-03
LBP,2.10E-03
LBR,2.17E-03
LCK,2.17E-03
LCN2,1.82E-03
LDB2,1.95E-03
LDB3,2.05E-03
LDHB,2.23E-03
LDHC,2.45E-03
LDLR,2.27E-03
LEF1,1.73E-02
LEP,1.89E-03
LGALS2,1.96E-03
LGALS7 /// LGALS7B,1.61E-03
LGALSL,1.95E-03
LGR5,1.87E-03
LHX2,1.68E-02
LIAS,2.05E-03
LIFR,2.28E-03
LILRA1,2.04E-03
LILRB3,1.91E-03
LIMD2,2.27E-03
LIN7A,1.87E-03
LINC00115,2.54E-03
LINC00342,2.31E-03
LINC00472,1.84E-03
LIPE,2.44E-03
LMF1,2.06E-03
LMO7,2.39E-03
LMOD1,2.30E-03
LOX,2.37E-03
LOXL2,2.24E-03
LPIN1,1.95E-03
LPL,2.07E-03
LRIG1,2.12E-03
LRP1,2.02E-03
LRP1B,2.48E-03
LRP2,1.92E-03
LRP2BP,1.50E-03
LRP5L,1.88E-03
LRRC14,2.01E-03
LRRC15,1.68E-03
LRRC17,1.77E-03
LRRC2,2.44E-03
LRRC31,1.89E-03
LRRC32,2.13E-03
LRRC36,1.84E-03
LRRC37A2 /// LRRC37A4P,1.75E-03
LRRC6,1.95E-03
LRRC8B,1.98E-03
LRRN2,1.80E-03
LRRN3,2.57E-03
LRRTM2,2.29E-03
LTBP1,2.47E-03
LTBP4,2.09E-03
LTC4S,1.81E-03
LTF,2.16E-03
LTK,1.82E-03
LUM,1.91E-03
LY6D,2.31E-03
LY75,1.79E-03
LY9,2.16E-03
LYL1,2.10E-03
LYPD1,1.39E-03
LYPD3,1.69E-03
LYVE1,2.08E-03
LYZ,2.20E-03
LZTS1,1.94E-03
MAB21L1 /// MIR548F5,2.39E-03
MAD2L1,2.06E-03
MAGED2,2.08E-03
MAGED4 /// MAGED4B /// SNORA11D /// SNORA11E,1.97E-03
MAGEL2,2.18E-03
MAGI2,1.39E-03
MAGOHB,2.80E-03
MALL,2.15E-03
MAN1A2,1.98E-03
MAOA,2.18E-03
MAOB,2.10E-03
MAP1LC3C,1.98E-03
MAP3K1,1.99E-03
MAP3K12,1.80E-03
MAP4K1,1.94E-03
MAP7D3,2.28E-03
MAP9,1.95E-03
MAPKBP1,2.27E-03
MAPT,1.82E-03
MARCO,1.79E-03
MARK2,2.43E-03
MAST4,1.65E-03
MAT1A,1.86E-03
MATN3,1.98E-03
MAZ,5.55E-02
MBNL3,1.47E-03
MCCC2,1.59E-03
MCF2L2,1.60E-03
MCM10,2.41E-03
MCM2,2.15E-03
MCM4,1.92E-03
MCM5,1.84E-03
MCOLN3,1.93E-03
MDM4,1.89E-03
ME1,2.18E-03
ME3,1.88E-03
MED1,2.15E-03
MED16,2.51E-03
MEG3,2.12E-03
MELK,2.67E-03
MEOX2,1.39E-02
MET,2.23E-03
METRN,2.07E-03
MFAP4,1.65E-03
MGAM,2.05E-03
MGAT2,1.65E-03
MGP,2.40E-03
MIA,2.28E-03
MICAL3,1.96E-03
MICALL1,2.63E-03
MID1,1.95E-03
MIER2,2.08E-03
MILR1,2.43E-03
MIS18BP1,1.93E-03
MISP,2.34E-03
MKI67,1.85E-03
MLC1,2.84E-03
MLPH,2.24E-03
MME,2.00E-03
MMP1,1.72E-03
MMP10,1.97E-03
MMP11,1.73E-03
MMP12,1.91E-03
MMP13,1.67E-03
MMP15,2.10E-03
MMP28,2.06E-03
MMP3,2.38E-03
MMP7,2.52E-03
MMP9,2.13E-03
MMRN1,1.87E-03
MN1,2.07E-03
MNX1,1.89E-02
MPHOSPH9,1.97E-03
MPP6,2.37E-03
MPPED2,2.24E-03
MPZL2,1.99E-03
MRAS,2.22E-03
MREG,2.37E-03
MS4A2,2.24E-03
MSH5 /// MSH5-SAPCD1 /// SAPCD1,1.88E-03
MSH5-SAPCD1 /// SAPCD1,1.83E-03
MSLN,2.21E-03
MSMB,1.61E-03
MST1,2.27E-03
MST1L,1.90E-03
MSTN,1.81E-03
MSX2,1.62E-02
MT1M,1.80E-03
MTMR7,1.54E-03
MTUS2,2.11E-03
MUC1,2.67E-03
MUC16,1.84E-03
MUC5B,1.64E-03
MUC6,2.43E-03
MVK,2.31E-03
MX1,2.27E-03
MXRA5,2.15E-03
MYB,2.10E-02
MYBL1,7.74E-03
MYBL2,2.08E-02
MYBPC1,2.23E-03
MYEF2,1.89E-03
MYH3,2.29E-03
MYO6,2.13E-03
MYOM1,1.82E-03
MYOM2,2.51E-03
MYOT,2.28E-03
MYRIP,1.67E-03
MYT1,1.50E-03
MZB1,1.93E-03
N4BP2L2-IT2,1.95E-03
NAALAD2,2.26E-03
NAB1,2.05E-03
NABP1,2.04E-03
NACA2,1.56E-03
NAIP,2.69E-03
NANOG,1.76E-02
NAP1L2,1.98E-03
NAP1L3,1.93E-03
NAT1,2.20E-03
NAT2,1.93E-03
NAV3,2.41E-03
NBEA,2.32E-03
NBR2,1.68E-03
NCAM2,2.05E-03
NCAPG,2.20E-03
NCAPH,2.11E-03
NCS1,2.11E-03
NDC80,1.79E-03
NDP,2.28E-03
NDRG1,2.61E-03
NDRG2,2.53E-03
NEBL,1.69E-03
NEFH,1.49E-03
NEFL,1.97E-03
NEFM,2.23E-03
NEK1,1.86E-03
NEK2,1.95E-03
NELL2,2.26E-03
NENF,2.55E-03
NETO2,2.35E-03
NF1,2.01E-03
NFATC4,3.08E-02
NGFR,2.15E-03
NID1,1.96E-03
NIN,2.90E-03
NKAIN1,2.58E-03
NKG7,1.98E-03
NKX2-5,2.04E-02
NKX3-1,2.18E-02
NLE1,1.84E-03
NLGN4X,1.76E-03
NLRP1,1.94E-03
NLRP2,2.20E-03
NLRP3,2.18E-03
NME3,2.51E-03
NME5,2.24E-03
NME8,1.80E-03
NMU,2.44E-03
NOL3,1.84E-03
NOP14-AS1,2.22E-03
NOS1AP,1.86E-03
NOVA1,2.13E-03
NOX1,2.05E-03
NPAS2,2.16E-03
NPDC1,2.50E-03
NPIPA5 /// NPIPB3 /// NPIPB6 /// NPIPB8,1.73E-03
NPPC,2.94E-03
NPR2,2.25E-03
NPTX2,2.40E-03
NPTXR,2.22E-03
NPY1R,1.96E-03
NQO1,2.20E-03
NR1D1 /// THRA,2.23E-02
NR1I3,3.39E-02
NR2F1,2.81E-02
NR2F6,4.44E-02
NR3C2,3.48E-02
NR4A2,2.94E-02
NRCAM,1.56E-03
NRG2,1.90E-03
NRIP1,2.02E-03
NRIP3,2.30E-03
NRP1,2.09E-03
NRTN,1.53E-03
NRXN3,2.26E-03
NTF3,2.11E-03
NTS,2.39E-03
NUDT1,2.01E-03
NUDT11,2.34E-03
NUDT18,2.61E-03
NUDT4,2.35E-03
NUDT6,1.68E-03
NUP54,2.18E-03
NUP62CL,2.17E-03
NUP93,2.13E-03
NUSAP1,2.12E-03
ODAM,2.14E-03
ODC1,1.92E-03
OGFRL1,2.90E-03
OGN,2.05E-03
OIP5,2.34E-03
OLFM1,1.85E-03
OLFM4,2.06E-03
OMD,1.93E-03
ONECUT1,2.34E-02
OR7A5,2.12E-03
ORC1,2.25E-03
ORC6,1.99E-03
ORM1,1.65E-03
OXTR,1.88E-03
P2RX5,1.95E-03
P2RY1,2.50E-03
P2RY13,1.85E-03
P2RY2,2.52E-03
P4HTM,1.60E-03
PACSIN3,2.17E-03
PADI2,2.25E-03
PAMR1,1.88E-03
PARD6B,1.89E-03
PART1,1.72E-03
PAX2,1.64E-02
PAX3,8.46E-03
PAX4,6.52E-03
PAX6,1.58E-02
PBK,2.41E-03
PCDH7,2.05E-03
PCDHA1 /// PCDHA10 /// PCDHA11 /// PCDHA12 /// PCDHA13 /// PCDHA2 /// PCDHA3 /// PCDHA4 /// PCDHA5 /// PCDHA6 /// PCDHA7 /// PCDHA8 /// PCDHA9 /// PCDHAC1 /// PCDHAC2,2.21E-03
PCDHB13,1.91E-03
PCDHB3,1.76E-03
PCDHGA10,2.08E-03
PCDHGA3,2.45E-03
PCDHGA8,1.77E-03
PCDHGB6,1.53E-03
PCK1,2.06E-03
PCLO,2.30E-03
PCNAP3 /// PCNAP3,2.37E-03
PCOLCE2,1.92E-03
PCP4,1.98E-03
PCSK1,2.57E-03
PCSK1N,1.90E-03
PCSK5,2.62E-03
PCYT1B,1.97E-03
PDCD1LG2,1.62E-03
PDE2A,2.43E-03
PDE4DIP,1.94E-03
PDE5A,2.21E-03
PDE6B,1.76E-03
PDE9A,2.08E-03
PDGFD,2.56E-03
PDGFRA,2.11E-03
PDGFRL,1.64E-03
PDK1,2.29E-03
PDK4,2.46E-03
PDLIM4,2.05E-03
PDPK1,1.75E-03
PDPN,1.93E-03
PDZK1,1.94E-03
PDZK1IP1,1.80E-03
PDZRN3,2.16E-03
PEG10,1.90E-03
PEG3,1.69E-03
PELI2,1.63E-03
PENK,2.40E-03
PEX11A,1.98E-03
PEX6,2.17E-03
PFKP,2.06E-03
PGAP3,2.27E-03
PGBD5,1.84E-03
PGGT1B,2.25E-03
PGR,2.19E-02
PHGDH,1.91E-03
PI15,2.06E-03
PI3,1.89E-03
PIEZO2,1.95E-03
PIK3C2G,2.02E-03
PINLYP,1.97E-03
PIP,1.92E-03
PIR,1.63E-03
PITX1,1.60E-02
PITX2,3.28E-02
PKD2L2,2.24E-03
PKP1,1.61E-03
PLA1A,1.95E-03
PLA2G16,2.62E-03
PLA2G2A,2.15E-03
PLA2G2D,2.13E-03
PLA2G4A,2.03E-03
PLA2G7,2.60E-03
PLAC1,1.70E-03
PLAT,1.87E-03
PLCB4,1.96E-03
PLCH1,1.56E-03
PLEKHA6,1.94E-03
PLEKHB1,2.26E-03
PLEKHS1,2.00E-03
PLIN1,1.59E-03
PLK1,2.69E-03
PLK2,2.43E-03
PLK4,1.93E-03
PLN,1.75E-03
PLP1,1.77E-03
PLSCR4,1.78E-03
PLXNC1,2.33E-03
PLXND1,2.20E-03
PMAIP1,1.90E-03
PML,2.03E-03
PNLIPRP2,1.73E-03
PNMT,1.84E-03
PNOC,2.31E-03
PNPLA2,1.88E-03
PNPLA3,2.01E-03
PNPLA4,2.07E-03
PODXL2,2.15E-03
POF1B,1.96E-03
POLM,1.65E-03
POLQ,2.00E-03
POLR2L,1.96E-03
PON1,2.78E-03
PON3,1.55E-03
POPDC3,1.85E-03
POSTN,2.00E-03
POU2F3,2.16E-02
POU4F3,1.79E-02
PPFIA2,2.10E-03
PPIP5K1,1.83E-03
PPM1E,2.06E-03
PPP1R16B,2.23E-03
PPP1R1A,2.01E-03
PPP1R3C,2.03E-03
PRAME,2.05E-03
PRC1,2.44E-03
PRELP,2.49E-03
PRG4,2.23E-03
PRKAG2,2.03E-03
PRKAR2B,2.10E-03
PRKG1,2.00E-03
PRKX,2.51E-03
PRLR,1.91E-03
PRND,2.21E-03
PROM1,2.35E-03
PROS1,2.15E-03
PRR16,2.44E-03
PRR7,2.50E-03
PRSS16,2.06E-03
PRSS2,2.18E-03
PRSS21,2.13E-03
PRSS23,1.75E-03
PRSS8,2.42E-03
PSAT1,2.20E-03
PSCA,1.63E-03
PSD3,1.66E-03
PSMD3,2.28E-03
PSPH,1.76E-03
PTGDR,2.12E-03
PTGER3,1.93E-03
PTGFR,2.33E-03
PTGS2,2.19E-03
PTH2R,2.15E-03
PTHLH,2.03E-03
PTK6,2.25E-03
PTPN11,1.35E-03
PTPN2,2.37E-03
PTPN22,2.24E-03
PTPRC,2.09E-03
PTPRJ,1.84E-03
PTPRN2,1.97E-03
PTPRR,2.34E-03
PTPRS,1.83E-03
PTPRT,1.91E-03
PTPRZ1,2.01E-03
PTTG1,1.94E-03
PTTG2,1.87E-03
PTTG3P,2.01E-03
PTX3,2.70E-03
PVALB,1.58E-03
PWAR5,1.97E-03
PYY,2.34E-03
QDPR,2.05E-03
QPCT,2.02E-03
QPRT,2.21E-03
QTRT1,2.37E-03
RAB11FIP1,2.20E-03
RAB17,2.06E-03
RAB26,2.02E-03
RAB27B,1.59E-03
RAB38,2.07E-03
RAB3B,2.11E-03
RAB40AL,1.68E-03
RAB6B,1.93E-03
RAD51,2.58E-03
RAD51AP1,2.37E-03
RAD54B,2.08E-03
RAD54L,2.45E-03
RAG1,1.99E-03
RAG2,1.86E-03
RAI1,2.18E-03
RAI2,2.13E-03
RALGPS1,2.08E-03
RALGPS2,1.98E-03
RAMP2,2.35E-03
RAP1GAP2,1.94E-03
RAPGEFL1,2.04E-03
RARRES1,1.98E-03
RARRES3,2.17E-03
RASSF4,2.11E-03
RASSF9,1.85E-03
RBBP4P4 /// RBBP4P4,1.92E-03
RBM47,1.87E-03
RBP4,1.71E-03
RCAN1,1.95E-03
RCAN3,1.53E-03
RDH16,1.48E-03
RECK,2.01E-03
RECQL4,2.56E-03
REEP1,2.13E-03
RELN,1.78E-03
RENBP,2.02E-03
REPS1,1.93E-03
REPS2,2.16E-03
RERGL,1.91E-03
RET,2.34E-03
RFPL1,2.43E-03
RFPL1S,1.73E-03
RFPL3S,2.10E-03
RGS11,2.99E-03
RGS13,2.12E-03
RGS2,2.40E-03
RGS5,2.12E-03
RGS7,2.38E-03
RGS9,1.73E-03
RHBDL1,1.90E-03
RHCG,2.24E-03
RHD,1.59E-03
RHOB,1.92E-03
RHOBTB2,1.69E-03
RHOD,2.01E-03
RIBC2,2.02E-03
RLN2,2.19E-03
RMND5A,2.13E-03
RNASE4,2.53E-03
RND1,1.72E-03
RNF128,1.53E-03
RNF32,1.96E-03
RNF43,1.72E-03
RNFT1,2.29E-03
RNFT2,2.07E-03
ROPN1B,1.60E-03
ROR2,1.91E-03
RORC,2.35E-02
RPARP-AS1,2.01E-03
RPH3AL,2.31E-03
RPL39L,2.37E-03
RRAD,1.50E-03
RRBP1,2.24E-03
RRM2,2.60E-03
RRP12,1.83E-03
RTN1,1.88E-03
RTN2,2.40E-03
RUNDC3A,2.38E-03
RUNDC3B,1.86E-03
RUNX1T1,2.30E-03
RUNX2,4.02E-02
RYR1,2.35E-03
S100A1,1.61E-03
S100A14,2.80E-03
S100A2,2.32E-03
S100A7,1.83E-03
S100A8,2.52E-03
S100A9,2.22E-03
S100B,1.76E-03
S100G,2.24E-03
S100P,2.00E-03
SAA1 /// SAA2 /// SAA2-SAA4,2.28E-03
SALL1,2.06E-03
SAP30,2.55E-03
SATB2,2.49E-03
SBNO2,1.72E-03
SBSPON,1.75E-03
SCCPDH,1.96E-03
SCGB1D2,2.07E-03
SCGB2A1,1.94E-03
SCGB2A2,1.95E-03
SCGN,2.17E-03
SCN3A,2.12E-03
SCN3B,1.70E-03
SCN7A,1.63E-03
SCN9A,2.09E-03
SCNN1A,1.94E-03
SCNN1D,1.89E-03
SCRG1,1.93E-03
SCUBE2,1.49E-03
SEC14L2,1.80E-03
SEL1L3,1.85E-03
SELENBP1,1.54E-03
SEMA3B,2.53E-03
SEMA3C,2.24E-03
SEMA3E,1.84E-03
SEMA3F,1.76E-03
SEMA3G,1.98E-03
SEMA6A,2.40E-03
SERHL /// SERHL2,2.51E-03
SERHL2,1.99E-03
SERPINA1,1.98E-03
SERPINA3,1.66E-03
SERPINA5,1.92E-03
SERPINA6,2.12E-03
SERPINB2,2.41E-03
SERPINB5,2.20E-03
SERPINE1,2.21E-03
SERPINI1,2.02E-03
SETBP1,2.21E-03
SEZ6L2,2.53E-03
SFRP1,1.78E-03
SFRP4,2.00E-03
SGCD,1.81E-03
SGCG,2.23E-03
SGSH,2.46E-03
SH2D1A,1.76E-03
SH3BGRL,1.85E-03
SH3GL2,2.43E-03
SHCBP1,2.31E-03
SHOX2,1.04E-02
SIAH2,1.48E-03
SIDT1,1.98E-03
SIGLEC1,2.24E-03
SIGLEC15,1.92E-03
SIM1,2.01E-03
SIM2,2.22E-03
SIPA1L1,2.00E-03
SIRT4,2.02E-03
SIX1,1.91E-03
SIX2,2.80E-03
SIX3,1.67E-03
SKA1,2.00E-03
SKP2,1.96E-03
SLAMF7,2.23E-03
SLAMF8,2.29E-03
SLC14A1,1.91E-03
SLC15A1,1.83E-03
SLC15A2,2.03E-03
SLC16A10,1.51E-03
SLC16A2,2.31E-03
SLC16A4,2.19E-03
SLC16A5,2.52E-03
SLC16A6,2.61E-03
SLC18A2,1.82E-03
SLC19A2,2.18E-03
SLC1A1,1.89E-03
SLC22A1,2.09E-03
SLC22A3,1.83E-03
SLC24A1,1.89E-03
SLC24A3,1.94E-03
SLC25A30,1.51E-03
SLC26A3,2.25E-03
SLC27A2,1.99E-03
SLC27A6,2.32E-03
SLC2A1,2.12E-03
SLC2A10,2.10E-03
SLC2A6,1.99E-03
SLC34A2,2.00E-03
SLC35F5,1.65E-03
SLC38A4,2.76E-03
SLC39A6,1.95E-03
SLC44A4,2.08E-03
SLC47A1,2.36E-03
SLC4A4,2.02E-03
SLC4A7,1.92E-03
SLC4A8,2.16E-03
SLC52A1,2.14E-03
SLC6A1,1.64E-03
SLC6A10P /// SLC6A10PB /// SLC6A8,2.04E-03
SLC6A14,1.56E-03
SLC6A16,2.22E-03
SLC7A1,1.92E-03
SLC7A2,2.77E-03
SLC7A5,2.06E-03
SLC7A8,2.33E-03
SLC9A2,2.49E-03
SLC9A3R1,1.98E-03
SLC9A3R2,2.11E-03
SLC9A7,1.53E-03
SLCO2B1,2.42E-03
SLCO4A1,2.22E-03
SLITRK5,1.79E-03
SLPI,2.31E-03
SMARCE1P2 /// SMARCE1P2,1.67E-03
SMC4,2.16E-03
SMCO4,1.91E-03
SMIM14,2.33E-03
SMIM2,2.06E-03
SMPD3,1.79E-03
SMPDL3B,1.53E-03
SNCAIP,1.90E-03
SNORA21,2.11E-03
SNPH,1.65E-03
SNTB1,3.04E-03
SOCS2,2.36E-03
SOCS7,2.16E-03
SORBS2,2.84E-03
SOSTDC1,2.06E-03
SOX10,2.95E-02
SOX11,1.91E-03
SOX2,2.42E-02
SPAG4,1.93E-03
SPAG5,2.25E-03
SPAG6,2.09E-03
SPARCL1,2.32E-03
SPATA1,2.62E-03
SPATA20,1.99E-03
SPATA6L,2.03E-03
SPC25,1.83E-03
SPDEF,1.19E-02
SPDL1,2.02E-03
SPIB,4.39E-02
SPOCK1,1.75E-03
SPON1,2.40E-03
SPP1,2.37E-03
SPRR1A,1.61E-03
SPRR1B,2.39E-03
SPTBN1,2.01E-03
SPTBN2,1.59E-03
SRD5A1,1.83E-03
SRD5A2,2.14E-03
SRD5A3,1.61E-03
SREBF1,3.34E-02
ST6GALNAC2,2.03E-03
ST8SIA1,3.28E-03
STAP1,2.07E-03
STC1,2.00E-03
STC2,2.04E-03
STEAP1B,2.05E-03
STEAP4,1.98E-03
STIL,2.51E-03
STK11,1.87E-03
STK17B,2.30E-03
STK32B,1.74E-03
STMN2,2.08E-03
STMN3,2.32E-03
STXBP6,2.49E-03
STYK1,2.38E-03
SULT1C2,2.29E-03
SUSD4,1.75E-03
SUSD5,2.47E-03
SUV39H2,1.79E-03
SV2A,2.62E-03
SVEP1,2.11E-03
SYBU,2.30E-03
SYCE1L,1.88E-03
SYCP2,2.42E-03
SYNDIG1,2.04E-03
SYNE1,1.90E-03
SYNGR3,1.98E-03
SYNM,1.92E-03
SYNPO2L,2.22E-03
SYT1,1.60E-03
SYT17,2.32E-03
SYTL2,2.12E-03
TAC1,2.31E-03
TACC3,2.20E-03
TAF13,2.53E-03
TAF7L,1.71E-03
TANC2,1.50E-03
TAOK2,2.69E-03
TAP1,2.01E-03
TAPT1,2.26E-03
TARDBPP1 /// TARDBPP1,2.00E-03
TAT,1.97E-03
TBC1D13,1.94E-03
TBC1D19,2.34E-03
TBC1D22B,2.06E-03
TBC1D31,2.54E-03
TBC1D9,1.74E-03
TBX3,3.33E-02
TBX5,3.22E-02
TCEA2,2.25E-03
TCEAL2,2.03E-03
TCF7L1,3.23E-02
TCHH,1.63E-03
TCL1A,1.93E-03
TCN1,2.20E-03
TCP11L1,1.96E-03
TDO2,2.62E-03
TDRD1,2.23E-03
TDRD12,2.52E-03
TECTA,2.34E-03
TEF,1.79E-02
TEKT2,2.36E-03
TENM3,1.81E-03
TEP1,2.01E-03
TESC,2.14E-03
TEX14,2.01E-03
TF,2.11E-03
TFAP2B,4.08E-02
TFDP3,2.09E-03
TFEC,2.02E-02
TFF1,2.25E-03
TFF3,1.68E-03
TFPI2,2.01E-03
TGFB2,2.06E-03
TGFB3,2.33E-03
TGFBR1,2.05E-03
TGFBR2,2.31E-03
TGFBR3,2.02E-03
THAP9,2.32E-03
THBS1,1.65E-03
THBS2,2.04E-03
THBS4,2.17E-03
THSD4,2.11E-03
TIE1,1.95E-03
TIGD6,2.41E-03
TIMP3,2.07E-03
TIMP4,1.96E-03
TJP3,1.90E-03
TK1,2.04E-03
TLL2,1.47E-03
TLR8,2.06E-03
TM7SF2,2.02E-03
TMC5,1.97E-03
TMEM100,2.13E-03
TMEM144,2.21E-03
TMEM156,2.33E-03
TMEM158,2.47E-03
TMEM255A,1.71E-03
TMEM47,2.23E-03
TMOD2,1.97E-03
TMPRSS11E,1.43E-03
TMPRSS3,1.73E-03
TMPRSS4,1.72E-03
TMSB15A /// TMSB15B,1.93E-03
TNC,1.67E-03
TNFRSF11A,2.02E-03
TNFRSF11B,1.87E-03
TNFRSF17,1.91E-03
TNFRSF21,2.72E-03
TNFRSF4,2.05E-03
TNFSF11,1.90E-03
TNFSF12 /// TNFSF12-TNFSF13,2.16E-03
TNIK,1.63E-03
TNIP3,2.08E-03
TNMD,1.95E-03
TNN,2.75E-03
TNNT1,1.88E-03
TNPO2,2.12E-03
TNXA /// TNXB,2.14E-03
TOM1L1,2.33E-03
TOP2A,2.14E-03
TOX3,1.98E-03
TP53AIP1,2.06E-03
TPBG,2.10E-03
TPH1,1.53E-03
TPPP3,2.66E-03
TPSAB1,1.99E-03
TPSB2,1.61E-03
TPSG1,1.80E-03
TPX2,2.09E-03
TRAF3IP3,2.18E-03
TRAK1,1.82E-03
TRAT1,1.82E-03
TREM2,2.31E-03
TRH,1.67E-03
TRIM17,1.99E-03
TRIM2,1.84E-03
TRIM29,2.17E-03
TRIM3,2.04E-03
TRIM31,1.95E-03
TRIM36,1.82E-03
TRIM46,2.19E-03
TRIM58,2.01E-03
TRIM9,1.92E-03
TRIP13,1.62E-03
TRPC6,1.70E-03
TRPM4,1.50E-03
TRPV6,2.25E-03
TSHZ2,1.52E-03
TSPAN1,1.83E-03
TSPAN12,1.93E-03
TSPAN8,2.37E-03
TSPYL5,2.23E-03
TSSK2,1.66E-03
TTC39A,1.78E-03
TTK,2.14E-03
TTLL4,1.92E-03
TTLL7,2.01E-03
TTPA,2.20E-03
TTYH1,1.95E-03
TUBAL3,2.19E-03
TUBB2B,2.90E-03
TWSG1,2.38E-03
TXK,2.19E-03
TYMS,2.13E-03
U2AF2,2.26E-03
UBASH3A,2.42E-03
UBBP2 /// UBBP2,1.71E-03
UBE2C,2.00E-03
UBE2S,2.03E-03
UBE4B,1.84E-03
UCHL1,2.47E-03
UCN,2.17E-03
UCP3,1.54E-03
UGCG,2.31E-03
UGDH,1.87E-03
UGT2B15,2.26E-03
UGT2B17,2.14E-03
UGT2B28,1.78E-03
UGT2B4,2.25E-03
UGT8,2.28E-03
ULBP2,1.61E-03
UNC119,1.81E-03
UPK1A,2.22E-03
UPK3B,2.29E-03
UPP1,2.40E-03
USP49,1.39E-03
USP53,2.04E-03
UTP14A,2.16E-03
UTS2,1.88E-03
VAMP1,2.59E-03
VASH2,2.27E-03
VAV3,2.01E-03
VCAN,2.20E-03
VCL,1.50E-03
VGLL1,2.01E-03
VIL1,1.42E-03
VIPR1,1.98E-03
VNN1,2.21E-03
VNN2,1.97E-03
VSTM4,1.90E-03
VTCN1,1.75E-03
WDR19,2.07E-03
WDR25,2.11E-03
WFDC2,2.09E-03
WIF1,2.18E-03
WISP2,1.56E-03
WISP3,2.42E-03
WLS,1.30E-03
WNT2B,2.09E-03
WNT4,1.34E-03
WNT5A,2.04E-03
WNT5B,2.30E-03
WNT7B,2.25E-03
WT1,4.13E-02
XBP1,1.50E-02
XIST,2.40E-03
XK,2.34E-03
XRCC4,1.90E-03
ZBED2,2.16E-03
ZBTB16,2.16E-03
ZBTB18,2.25E-03
ZBTB33,2.58E-02
ZBTB6,3.77E-02
ZC4H2,1.74E-03
ZCCHC24,1.85E-03
ZDHHC11 /// ZDHHC11B,2.28E-03
ZFHX3,2.14E-02
ZFP2,1.76E-03
ZFP69B,1.88E-03
ZFPM2,2.33E-03
ZIC1,4.08E-02
ZIC3,4.50E-02
ZMAT4,1.89E-03
ZMIZ2,1.76E-03
ZMYND10,1.99E-03
ZMYND8,1.79E-03
ZNF117,2.54E-03
ZNF135,2.43E-03
ZNF141,2.00E-03
ZNF155,2.35E-03
ZNF204P,2.32E-03
ZNF213-AS1,2.33E-03
ZNF214,2.54E-03
ZNF236,1.97E-03
ZNF254,2.03E-03
ZNF257,2.34E-03
ZNF276,2.15E-03
ZNF334,1.74E-03
ZNF335,2.49E-03
ZNF343,2.34E-03
ZNF345,2.13E-03
ZNF37BP,1.94E-03
ZNF385D,1.60E-03
ZNF391,2.43E-03
ZNF407,1.78E-03
ZNF423,3.67E-02
ZNF493,2.28E-03
ZNF516,2.20E-03
ZNF552,2.51E-03
ZNF613,2.20E-03
ZNF614,2.45E-03
ZNF667,1.88E-03
ZNF670 /// ZNF670-ZNF695 /// ZNF695,2.47E-03
ZNF674,2.32E-03
ZNF682,2.37E-03
ZNF711,2.17E-03
ZNF750,2.08E-03
ZNF76,2.41E-03
ZNF780A /// ZNF780B,2.18E-03
ZNF80,1.80E-03
ZNF81,1.82E-03
ZNF814,1.76E-03
ZNF862,2.41E-03
ZNF91,1.78E-03
ZWINT,1.98E-03
