"gene","h_cent"
"MDM4",5375.33333333333
"OVOL2",5375.33333333333
"PPP1R13L",5375.33333333333
"RTN4",5375.33333333333
"SERPINI1",5375.33333333333
"TBCCD1",5375.33333333333
"TROVE2",5375.33333333333
"ZFP36L1",5375.33333333333
"ZNF839",5375.33333333333
"CLK3",5375.16666666667
"DPY19L4",5375.16666666667
"KIAA0895",5375.16666666667
"PPP2R5B",5375.16666666667
"RAD52",5375.16666666667
"RGL1",5375.16666666667
"RUVBL1",5375.16666666667
"SCNM1 /// TNFAIP8L2-SCNM1",5375.16666666667
"SMG7",5375.16666666667
"SMG7-AS1",5375.16666666667
"AMOTL2",5375
"CCNL1",5375
"CTSB",5375
"GNAS",5375
"LIMA1",5375
"MEIS1",5375
"MTMR4",5375
"NPLOC4",5375
"PABPC1",5375
"PRRC2B",5375
"RGS3",5375
"RPS29",5375
"SCAF11",5375
"UBE2D3",5375
"VAV3",5375
"BZW2",5374.83333333333
"DYNLL1",5374.83333333333
"HIRA",5374.83333333333
"NBL1",5374.83333333333
"PLEKHF2",5374.83333333333
"PRCP",5374.83333333333
"SLC20A1",5374.83333333333
"SLC3A2",5374.83333333333
"TDP1",5374.83333333333
"ZNF706",5374.83333333333
"AP4M1",5374.66666666667
"BAIAP2",5374.66666666667
"EPCAM",5374.66666666667
"ESRP1",5374.66666666667
"FBXL18",5374.66666666667
"FBXO38",5374.66666666667
"INTS12",5374.66666666667
"KDM2A",5374.66666666667
"MARK3",5374.66666666667
"MDH1",5374.66666666667
"MYO9B",5374.66666666667
"NCAM2",5374.66666666667
"PLD1",5374.66666666667
"POLR2A",5374.66666666667
"SERP1",5374.66666666667
"TPK1",5374.66666666667
"UCHL5",5374.66666666667
"UNKL",5374.66666666667
"VPS51",5374.66666666667
"WWP1",5374.66666666667
"ZNF213-AS1",5374.66666666667
"NDUFS3",5374.66666666667
"AZIN1",5374.5
"CLCN3",5374.5
"CSDE1",5374.5
"CYP24A1",5374.5
"DDX42",5374.5
"FAM47E /// FAM47E-STBD1 /// STBD1",5374.5
"KLC1",5374.5
"PMEL",5374.5
"PTRH2",5374.5
"RAB11A",5374.5
"RNF139",5374.5
"RPN1",5374.5
"STRN4",5374.5
"TPD52",5374.5
"CAPZA2",5374.33333333333
"CHD8",5374.33333333333
"FEM1B",5374.33333333333
"GEMIN6",5374.33333333333
"MATR3 /// SNHG4",5374.33333333333
"MPHOSPH10",5374.33333333333
"SETDB1",5374.33333333333
"SRSF1",5374.33333333333
"ZNF276",5374.33333333333
"CCDC57",5374.16666666667
"DBP",5374.16666666667
"DDB2",5374.16666666667
"DGKA",5374.16666666667
"FOXJ3",5374.16666666667
"HSP90AA1",5374.16666666667
"NAB2",5374.16666666667
"PDE8A",5374.16666666667
"PEX13",5374.16666666667
"PRKAR1A",5374.16666666667
"RPRD2",5374.16666666667
"SIKE1",5374.16666666667
"TANK",5374.16666666667
"TBL1X",5374.16666666667
"TMBIM6",5374.16666666667
"VGLL4",5374.16666666667
"WDR74",5374.16666666667
"ZBTB38",5374.16666666667
"ACTN1",5374
"CEP63",5374
"COBLL1",5374
"COPS7B",5374
"DLG4",5374
"ESYT1",5374
"GTF3C2",5374
"HNRNPD",5374
"IQCG",5374
"LMNB1",5374
"LPAR2",5374
"NOL8",5374
"PLA2G6",5374
"POLR3B",5374
"SPRED2",5374
"UTRN",5374
"ADRM1",5373.83333333333
"ATG5",5373.83333333333
"CD164",5373.83333333333
"CDC14B",5373.83333333333
"CHEK2",5373.83333333333
"CTNNB1",5373.83333333333
"EEF1A1",5373.83333333333
"FANCC",5373.83333333333
"HEATR6",5373.83333333333
