1.500000000000000000e+01,5.950485916891679050e-01,1.215697824954986572e-02,1.210694108158349991e-02,1.386152952909469604e-02
2.500000000000000000e+01,9.466136186472229319e-01,1.164115127176046371e-02,1.045136153697967529e-02,1.214940845966339111e-02
4.000000000000000000e+01,1.470249903391943169e+00,9.107433259487152100e-03,8.920918218791484833e-03,1.058278791606426239e-02
5.000000000000000000e+01,1.795348751519167285e+00,6.847430951893329620e-03,7.806584239006042480e-03,9.382548741996288300e-03
8.000000000000000000e+01,2.605452162242221981e+00,5.337277427315711975e-03,4.746157675981521606e-03,6.020984146744012833e-03
1.200000000000000000e+02,3.533982845916944004e+00,3.306563710793852806e-03,3.216313198208808899e-03,4.202313721179962158e-03
1.600000000000000000e+02,4.491244674937499681e+00,2.217366127297282219e-03,2.633913652971386909e-03,3.479311708360910416e-03
2.000000000000000000e+02,5.405754589845556346e+00,1.662941998802125454e-03,2.344012726098299026e-03,3.103618742898106575e-03
2.400000000000000000e+02,6.246462440589999332e+00,1.662941998802125454e-03,2.217564731836318970e-03,2.930429298430681229e-03
3.000000000000000000e+02,7.422964914769723421e+00,1.383441733196377754e-03,2.145002130419015884e-03,2.824603812769055367e-03
