"gene","h_cent"
"RFX3",8107
"FOXB1",8094
"CREB3L1",8076.5
"ERF",8074
"MECOM",8064
"POU6F1",8059.5
"HOXC13",8053
"ZSCAN16",8045.5
"CREM",8045
"NKX3-1",8041
"HSF2",8039.5
"HOXC10",8039
"FOXH1",8029.5
"GCM2",8024.5
"FOXC1",8020
"BACH1",8010
"POU1F1",8004.5
"HOXA1",8001.5
"TFEB",7990
"HSF4",7987.5
"HOXD12",7985.5
"PPARA",7983.5
"ETV3",7983
"HEY1",7982.5
"MYCN",7973
"ARNT",7969
"ATF1",7963
"CDX2",7960
"FOXP3",7953.5
"CEBPG",7950
"ETV1",7946
"MYB",7944.5
"PAX9",7944.5
"POU3F3",7943
"SOX17",7932.5
"PROP1",7930
"GATA2",7927
"POU3F2",7920
"NFATC1",7909
"MYBL2",7905.5
"FOS",7892.5
"TBP",7887.5
"ONECUT1",7876
"CEBPA",7873
"PKNOX1",7843.5
"POU4F1",7838.5
"BHLHE40",7838
"HOXD9",7815.5
"AIRE",7794
"SOX21",7793
"GATA1",7791.5
"POU4F3",7776.5
"POU3F1",7767
"POU3F4",7764
"PBX2",7758
"POU2F3",7756.5
"POU5F1B",7748
"ETV2",7741.5
"TFEC",7733.5
"CEBPD",7732.5
"GATA4",7732
"RORA",7727
"HINFP",7718
"SOX13",7709
"SOX5",7703
"BATF",7695.5
"ZFHX3",7684
"FOXG1",7680
"LHX3",7679.5
"PAX1",7663.5
"HOXB13",7660
"FOXD1",7650
"GATA3",7648
"HNF1A",7643
"PITX1",7632
"TEF",7611.5
"ARID5B",7608
"MNT",7568
"MSX1",7551
"BARX1",7547.5
"ZNF232",7534.5
"CREB3",7528.5
"OVOL1",7522.5
"SOX15",7519.5
"CDX1",7518
"HBP1",7497.5
"SOX14",7494.5
"RFX4",7488
"LEF1",7479.5
"AHR",7464.5
"GATA6",7463
"FOXL1",7462
"POU4F2",7461
"PBX1",7448.5
"MNX1",7442
"ATF4",7439
"E2F5",7420.5
"CENPB",7414.5
"HNF1B",7404
"HOXB6",7402.5
"ALX1",7400.5
"BARX2",7381
"HMX1",7376.5
"HOXB7",7372.5
"PITX3",7370
"PHOX2A",7369
"POU6F2",7366.5
"DBP",7341
"CEBPE",7340.5
"PAX6",7335
"PHOX2B",7323.5
"SPDEF",7314.5
"HOXC8",7310
"HOXB8",7304
"LHX2",7284.5
"IRX5",7283.5
"GSC2",7280
"NANOG",7272
"HOXB5",7247.5
"MSX2",7245.5
"PAX2",7242.5
"PRRX2",7242
"XBP1",7223
"CDC5L",7217
"MAFG",7210.5
"NFE2L1",7210.5
"DMRT1",7207
"ALX4",7190
"HOXA2",7165.5
"CLOCK",7156
"PROX1",7145
"TLX2",7144
"TBX21",7138.5
"CRX",7134
"CREB1",7131.5
"HOXB3",7119
"LBX1",7118.5
"MEOX2",7112
"PRRX1",7101
"HOXA7",7065
"HOXA5",7058
"LHX6",7054.5
"EN2",7042.5
"BATF3",7039.5
"HMGA2",7037.5
"LMX1B",6997
"MLX",6993.5
"TBX19",6978
"CXXC1",6964
"VENTX",6942
"ISL1",6939.5
"PDX1",6933
"VSX1",6930.5
"RAX",6921.5
"GBX2",6919
"DLX2",6914.5
"MEOX1",6912.5
"HMBOX1",6909.5
"SHOX",6909
"SHOX2",6908
"HOXB2",6900.5
"NEUROG2",6868
"ATF7",6851
"EMX1",6832.5
"HOXC11",6827
"DLX4",6826.5
"NFIL3",6812.5
"VAX2",6809
"OLIG2",6790.5
"EN1",6790
"DLX6",6786.5
"NEUROD2",6770.5
"HLF",6766.5
"GBX1",6756
"HOXD11",6739.5
"PAX7",6724
"EVX1",6720.5
"CUX1",6700
"ALX3",6692.5
"DLX5",6636
"E4F1",6633.5
"EMX2",6568
"GMEB1",6549.5
"CUX2",6481.5
"MYBL1",6476
"ZFHX2",6435
"PAX3",6426.5
"PAX4",6368.5
"ZBED1",6134
"GMEB2",5958
"AARSD1 /// PTGES3L /// PTGES3L-AARSD1",0
"AATF",0
"ABAT",0
"ABCA2",0
"ABCA3",0
"ABCA5",0
"ABCB6",0
"ABCB7",0
"ABCB8",0
"ABCC1",0
"ABCC2",0
"ABCC3",0
"ABCC5",0
