1.000000000000000000e+00,8.881253492499026347e-03,1.298780669458210577e-04,1.322699827142059803e-04,1.322699827142059803e-04
5.000000000000000000e+00,4.355121143361126435e-02,1.298780669458210577e-04,1.321204326814040542e-04,1.321204326814040542e-04
1.500000000000000000e+01,1.286960595113891548e-01,1.296648282732348943e-04,1.319225266342982650e-04,1.319225266342982650e-04
2.500000000000000000e+01,2.122710101613888012e-01,1.293428096687421094e-04,1.316874986514449120e-04,1.316874986514449120e-04
4.000000000000000000e+01,3.332280288430552462e-01,1.288035302422940623e-04,1.312416425207629800e-04,1.312416425207629800e-04
5.000000000000000000e+01,4.133225068469437158e-01,1.285570986510720212e-04,1.310395891778171062e-04,1.310395891778171062e-04
8.000000000000000000e+01,6.531954864663890303e-01,1.281942000787239468e-04,1.307666971115395427e-04,1.307666971115395427e-04
1.000000000000000000e+02,8.141193460230553569e-01,1.280986856727395261e-04,1.307092315983027220e-04,1.307092315983027220e-04
1.200000000000000000e+02,9.751952453113881258e-01,1.280534961551893502e-04,1.306828344240784645e-04,1.306828344240784645e-04
1.500000000000000000e+02,1.220357121151387725e+00,1.280306845728773678e-04,1.306734629906713963e-04,1.306734629906713963e-04
1.800000000000000000e+02,1.464075678776666223e+00,1.280120741284918040e-04,1.306645426666364074e-04,1.306645426666364074e-04
2.000000000000000000e+02,1.627605632251943435e+00,1.280072028748691082e-04,1.306626218138262630e-04,1.306626218138262630e-04
