"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"ABF1_input",59.2172222570513,37.8748639326121,67.7151658213211,77.0852798780687,42.7968775134138,102.584516513748,50.7716251103264,57.388630478495,68.5592244299424,47.1260850491232,51.2428438522293,62.5451406899897,83.2785173955938,53.443875603625,65.4524673123635,60.0302473555379,89.0441903976202,54.1676356558535,59.6707290072816,47.3630086168103,102.83128839154,102.017440619057,100.749134657996,55.65112393819,68.038814051344
"ACE2_input",35.7592089280114,20.0789647079421,46.4534737281869,32.8072275486353,17.6844266896852,27.8642846403952,20.5879809286214,15.4475854076055,20.2157078216235,28.9051454266998,18.6422430248464,24.6606119978187,17.1437242717768,16.4062971254042,17.5011910357968,41.5108430960662,39.3439337689896,17.0144910684965,19.0257131154321,28.3863328371649,16.2173939239049,20.3615186600591,18.6528274768352,12.8495794256104,16.4836825261744
"ADR1_input",32.9392593694462,33.2154768254256,70.3026708992356,38.4690903562213,35.6776200311863,20.3738115484618,59.8101194386162,22.8455215616442,38.633448390242,33.6259970612874,38.626342562561,24.119519550117,36.1511153820578,37.5517913390001,57.4665077303828,25.1696914510101,44.680875820464,40.2002342169039,60.7156911760203,32.4867600389972,25.2628034642551,43.1425530476204,41.3196583247127,45.4067098341142,34.8961955922347
"CAF16_input",27.182755910839,27.0732189603573,31.3003974757174,32.7185373081286,28.0800258655049,46.9033343458505,28.5744855972845,42.460069339634,47.5975755315761,31.525883265761,49.1830825280442,17.7170988790958,28.053946065632,19.7445585526767,47.7351849614918,27.6146515003749,28.8555297154414,21.6606932649878,18.9898489578844,47.6386118368082,32.3351667876509,31.5146523338881,30.5709493576158,30.7371405712242,46.6308411641223
"CAF4_input",22.4170312375543,22.4318976616578,24.0054993758709,23.7903343568159,21.7911919581579,38.8415175064748,37.0710666248509,29.9019150403981,29.8523260227663,19.2452959241365,13.1078567233219,23.7625943127215,33.7223600232164,19.1671790889322,20.8053951580863,22.5158988457946,21.5806817581318,37.9587235724141,35.719134599912,13.0192220762412,16.1527298509523,16.2566924385172,23.9939147819378,28.0515832224294,13.8273334627231
"CAT8_input",60.1703417775818,54.7597479918679,45.0265842560388,58.0235222394096,37.4621017536687,35.1301173722307,35.8185088410347,55.2158108433196,30.8735106923917,48.7400660353771,59.128934260717,62.825165143715,58.8121245161689,56.5971537816932,51.9450267048687,58.8785195890308,62.2529998651168,56.8036678473459,43.6190379594168,33.692870933203,36.2204829876707,65.0359515737251,71.0808185371074,35.095432196202,31.2046463845308
"CBF1_input",71.9334502264948,92.1501709739246,67.0967625439506,62.0162853098653,43.7688163120506,64.5947409228409,62.7054248842624,64.7380729081143,56.6233582573153,90.7811141000655,47.2407979334015,79.3355346756879,66.4028640243324,35.7572308441877,80.1448279312945,74.7721182242645,50.3104973012716,56.7840927817279,87.7948201417612,62.0458750998222,81.2481189552931,59.2000977804994,86.7180907112804,75.8473175570028,76.0450828935286
"CDC36_input",11.2926015421262,13.1139184226006,11.0675919090989,22.3102836963971,7.62048576025365,14.5063221598352,9.223530662464,17.0781559677305,18.2755771936388,11.6824182820561,18.3425684634703,19.8759248142281,10.1089456178438,12.1283152647947,20.6514472911958,11.7932611545232,14.2201778682854,15.0394358501553,22.3350362829703,19.3072823944867,14.0675501557637,21.2724335492637,16.0242568760524,14.4305999137471,11.2710542723928
"CDC39_input",13.7650388678305,15.3692031223253,26.8361830040578,25.1722239827945,13.2572067054307,25.871521748616,15.0359454244,22.6562296175392,15.7374171747108,24.0424334979763,9.88552078269286,13.9592400143676,22.1337085172568,22.791607742698,20.3975201641105,11.2887093856376,13.4941325672976,16.3628620079808,13.220068089943,23.1684621347474,29.2905780108153,13.8653726420711,11.3771087699837,21.1284627770772,18.8837425754956
"CDC50_input",33.3136154682318,26.9477948970798,37.0557615715836,19.9629748717699,10.913940263571,40.2565377245185,28.8656360732992,17.8009527648954,19.9000596978414,17.9537472273346,34.4637172542131,20.0786316128106,19.4289677619046,33.6809613916513,20.4851418144284,23.7548783500939,22.4354911005928,31.8253445471269,35.3016014808392,12.4873172754783,22.7761087964281,29.4865987762866,16.204258233368,16.0466567193967,28.3496490465067
