"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"ABF1_input",32.8281306963519,41.2137113229911,68.1266672759027,70.2460692547285,52.330352864086,2.62966435724333,91.10239303974,65.921222545602,63.6354958762256,66.6302939608609,95.5468321137529,93.3064688197317,70.7174681189819,52.3848304483064,73.1303486179597,54.6669249173499,97.3384990885967,23.2793466135933,109.595812901174,1.46056573278605,109.812986436825,73.5728713666384,95.8660845305329,104.265128561232,91.0179703319696,10.3912119284208,17.821540403041,107.617914249966,68.004612181704,110.615234274614,21.6019908099426,75.1654322483539,15.0941788426738,98.948053642341,71.609726113684,118.797948847661,30.4453399459239,48.4177746448422,26.9947040492323,21.0772659221381,67.8955046256276,57.8460814700263,49.5458347901513,60.2038537539002,76.0813853436182,64.9960353713141,55.7549869336216,64.3740887067493,84.22837093318,73.4603600337165
"ACE2_input",11.0255407395685,8.00947614652267,39.7058190649714,14.7289188852912,46.1646189396448,39.6742228235004,24.1820798525852,24.429592996329,44.5750958297953,46.9119159381585,23.2498512492087,43.6902127598042,31.7596416353349,31.1145302016275,38.2850850934173,53.1217450729302,30.1089955399187,28.4262733353881,30.0010815531474,45.7332802421999,24.7399757190395,34.124175291421,24.3586864621415,48.9248997461352,42.7646984036909,27.5185305533148,36.7018295517347,7.62369902099119,20.4491628836407,7.39501517802211,23.6194098726662,16.6309934060208,43.5075558376957,16.1561861339679,39.3831332954956,41.6362819666679,38.6721265203524,27.1209205381992,27.2755839285133,23.7451656050046,19.9350806006436,48.5229332752084,26.5512983178485,29.4820340239345,12.3813646733934,52.5292675316027,34.224665557675,22.1720868697757,49.3718663295317,45.1587315553305
"ADR1_input",26.5361963627957,60.1523623520911,74.5956581715077,61.9961383519042,50.3312569608119,52.0032777703596,3.82878120081581,38.1310272188785,43.5886885110964,64.8389187977397,65.005931564794,44.7410118864449,45.9856801580438,41.8368845663503,8.64789868289263,54.44869549128,32.079502627612,8.60821976796833,65.6178180731816,71.7988235630265,47.588565676131,16.1474083495751,45.814239933238,10.4539894424131,38.8598303241731,45.943233408868,65.7998668554955,44.2675183742972,49.1040740107527,81.0880461442132,46.6263288878137,51.536013401452,14.7573794335447,48.8716279976539,52.6707416820485,13.9102744582255,44.1654904977825,46.5710642445648,53.8607789441957,0.950481009317667,38.4192434128797,46.5453746576842,76.4596307137452,42.2473537845831,50.6616864387111,12.7319501162694,37.2167168565311,64.2549897937728,78.1185044793944,67.602098217925
"CAF16_input",55.6756396575465,29.4080054494046,7.86286518593164,16.99025889848,18.1322006683458,21.4670873101911,22.5228433763093,35.0304660897539,15.0532901807,43.3208346585279,56.5074837204136,44.2282261114418,42.8864216794774,24.1678264619606,29.6238585596938,51.5106882211035,40.6247170652936,79.9760892556421,5.41465681601456,38.8058420542927,32.8424971628118,43.5106468990098,13.0807034692984,37.9446138944479,17.6232247514731,50.4966712866486,4.65696886445102,61.8099163769393,8.13946737057445,50.199635984295,60.5185716185755,33.2643883479524,27.2434347218179,46.333128834941,39.9342712186156,37.9323930425074,6.06524045399979,62.2116258549564,40.3817648558537,39.2528684773852,47.6996879169153,56.4082318042017,24.3102158748895,67.7009393640527,26.7106832139927,32.3721463268807,66.223941191752,8.91601820888068,67.0207495909413,66.999212166394
"CAF4_input",34.2089332342372,45.9316004353511,5.02038763008558,26.1274440883704,11.9698606205279,41.8273508730095,25.5230844854489,19.5461305156404,9.91897510361806,47.7186079457197,50.1393717493571,33.7286771012929,7.37166853604506,38.802428266677,35.3166727047863,54.2735881970697,40.1048223213759,47.5999873771661,33.8161748489574,38.9483129550751,23.1632269139994,25.0203237013469,31.6633144865243,56.4623578761849,32.7124188491134,29.5735827752722,42.7844250440493,51.8227404024709,48.3761524519994,1.73790765392505,19.2166892726199,7.45941732113403,30.3564268582699,25.4947496612318,12.95072557332,33.7559558657617,31.8116733661487,13.2291711120848,1.67439290900239,35.0186053764752,33.2425472603519,17.1488506223022,14.0166095278756,3.58136692878668,33.0946632880193,25.0430640195662,44.8712132021731,39.2156436252893,55.0111096388987,55.8048802505249
"CAT8_input",53.1117406017472,72.4859558227848,76.437585106915,18.6085521767482,8.20959754049003,49.1663406938963,38.7245491753277,44.3070727415063,60.4632641393759,29.6707014484262,66.6063502154281,48.7494978191456,68.2829036061961,74.4734995443853,47.2784964521741,18.8275549481445,29.7013159970293,45.1774713820109,51.4543968724476,24.9849861259741,27.6512565090766,66.5415509964119,33.4159486290428,58.3834917181837,42.0263235158246,39.2064321132694,40.590739368563,36.0874411825196,42.8812949189084,43.8753815984768,49.6623968859978,75.9541540525163,41.9607078885189,47.7679820444273,52.6526139528943,10.9862719330958,16.7083187519538,63.6615482940675,29.7370167264601,13.2116413419456,41.0201044605833,38.4430500530602,67.4759682814774,48.5688338762907,73.8780808502949,46.5875184422017,42.7553529070919,27.0003814515969,66.1855869588105,51.3456131930401
"CBF1_input",100.670483627271,53.1472872434022,48.7604264812203,70.3111343931855,102.882579881764,45.8453610690356,68.9552191654005,68.9799866509369,65.9872892298905,117.856269598846,72.3603440792341,117.457826110461,98.8151548936332,59.1410689427965,56.0768487566116,113.889816871897,61.5338173443131,82.3001605100474,77.6110073649447,67.4916052181852,56.4899019973665,29.7452400402224,64.2729257725556,86.4398234952952,66.1296288016773,66.4157228273786,112.635498202308,53.5629074713152,62.9158324692639,76.9482424603607,80.7842605330469,66.4355781406837,41.587666275297,68.8776280881318,68.3838102538199,110.122319929363,1.55392120211314,64.2321122952641,39.898705755326,74.2294567888229,62.4798552289712,73.8130748686542,100.704463646314,116.537636043917,51.5394947726136,62.1798184727167,99.7513242559347,53.0143488187356,113.684191461246,72.1858085185505
"CDC36_input",8.89045506924713,33.4275831573928,18.887866643938,3.23149368605005,28.1813658358485,15.3215798004668,33.14501648105,15.1489140263552,10.8052162246538,27.0967922492444,21.440979988142,7.74842092850539,24.8051638288862,27.841903606926,22.8985232953381,21.3945167267733,30.9209869947633,17.2995890065096,25.0112213546167,21.1261241352593,32.3706213789737,16.7790895658992,22.6384838409546,21.3305670729971,17.7973947315976,19.2738404007419,33.0924732431256,18.7534346891713,22.208571322611,28.53426358856,26.0592029715517,1.92400953276493,36.5635794191637,27.4461228326091,17.091529952404,17.9152324922624,26.1834569337894,1.37668841794571,8.29047420364334,7.96583210947058,18.045168120214,24.8744899740916,24.1064757985376,28.6968599749748,3.83801153036371,22.9300965147707,9.15236911842318,25.851759168838,12.6427699577028,29.5285437388826
"CDC39_input",22.5880377207739,29.9779002284311,17.530387469771,21.9959808102043,21.2273571121205,22.7697214203719,32.2138486228859,16.6228122916412,35.0741355183988,13.891650599717,24.199221328249,27.8635533250197,26.2344686692894,24.2190496668891,15.5640880859593,23.6309794554698,22.9522894300543,25.9090049001861,24.2847857176518,24.495649975857,32.9710755478801,19.5208029879521,22.8120680988382,27.5105521052536,23.6717088275349,24.1788742701271,6.17867695422018,12.2491056683194,43.8108131988001,6.72523130936015,32.3214164037435,23.3662652080266,16.3123077699091,6.62791292099573,29.3759485211462,24.9788118721758,33.5375524132717,27.441476743854,33.695648740039,18.0794727749352,8.38567529537361,32.8435100810622,41.1303826714024,22.4529161794548,35.3134679376963,30.0092778526167,30.4842327762033,40.8513591631077,28.0408172238033,26.5183552673166
"CDC50_input",37.2996305961769,25.2997730837921,30.8731672524808,38.0789525171881,24.5731097540488,37.0591945327812,44.7014426413173,13.8886308962131,26.5261209705599,3.79707719130848,1.4762744712474,27.2994393513522,27.7912145559818,22.2411305291926,12.5815335188722,28.669081522872,45.063194841772,0.496629443168083,26.0551754297398,3.61292904141426,23.8100824099886,30.6582034473613,22.8696554497053,27.1347868318706,40.6375747588149,24.9025487109138,20.3087549538296,51.2235951460747,43.8151677330523,26.9313135728117,29.1241918927785,16.4719093860924,33.5970224966264,51.3016528673746,23.4788451773151,47.5636466187569,5.54516401970832,43.8692526557656,22.928408561324,24.521868734607,22.2955902206256,34.5827815309908,43.7505043736615,47.2535553598371,58.2965687609694,34.7644402637539,26.4182892218757,24.241660228798,37.9883140589826,32.6434821099533
