"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"ABF1_input",59.6824868931168,53.1266319934645,73.1644134994789,64.0301593944676,87.9617349589249,49.4580211182804,68.1905173014652,81.4527381566922,53.7456787230234,79.5168186772653,87.8202014785829,61.1698294993852,86.7362867409109,69.1151034070573,90.9337814414273,58.0021770464122,49.0197292791252,41.1808943350913,52.740213620169,55.090295763363,62.4873740001544,107.118316982701,75.0986604001636,57.5049264012489,86.4787070099643
"ACE2_input",33.0320076650461,28.4770398082242,19.2816082409787,21.1248067586276,17.6024388493622,24.8116141758455,20.5254233783081,34.4634732568577,19.8126070178691,15.6260031755004,18.6266559160154,18.0423472278718,19.5215853067337,39.2257700494053,34.9403464360771,22.7217088190003,17.1946578653661,21.4415096713765,39.1986071007186,14.4886843357189,27.7140309371751,30.9363503427177,34.1502609327683,31.4817166095638,30.4278048100079
"ADR1_input",38.6815178163252,38.9631367625464,31.4160346210161,67.7588613642974,59.8929786330579,60.1197131743172,54.8614135795241,49.5989174826153,40.5878203351719,43.6332992277398,36.0538031355684,32.2553500457782,38.6455551360886,69.4541414553735,35.7831174709234,35.742302296373,37.2450377598349,36.8540141204915,37.4433476372564,28.130918724367,28.1534616508505,33.9553097163408,27.6404340786872,36.9841028973416,55.0344754849431
"CAF16_input",31.6737220964816,20.9419743693312,22.9372255140875,25.0583076261562,23.6135894238815,38.9578370267069,40.9294255770376,49.428060556585,29.3720219439451,20.1083311827263,27.5156554996253,25.692563500944,27.1621298330477,50.6822567515892,29.7427904522261,36.5274066679465,22.1649201787679,28.2862510864875,45.55976169202,18.4559401895615,49.7022351007854,51.3109555430416,26.0317569873718,29.9305261909183,47.8120599244963
"CAF4_input",38.7158933006073,23.4415273780576,36.8926777023251,24.3721153808609,38.0866516933071,32.913310942335,30.5376638715264,26.0837908497079,39.0845232772785,19.3377440426503,38.9987980176003,17.6765618693005,15.9794471583068,23.6527306503559,22.7583981517213,32.5085312978111,21.7615919484339,21.8023510548046,20.6213386970462,15.0170454815417,19.0530047957975,35.2825065147026,38.4680247030591,24.0695516025583,21.8570723533006
"CAT8_input",28.4848082222344,33.4628949609833,57.6375748083484,35.7152569328781,35.079791092623,35.8530705076951,67.0305563057572,59.8687298099115,49.7647767680893,33.5031510452396,35.5850385629492,30.8847139970564,47.5072610976629,35.4913562723587,58.559219759844,35.6900908460445,64.1640310223908,29.1369775142054,44.7752008748532,55.9524086413692,38.8547744093527,57.8978892325116,47.9177831388467,32.132084569519,24.4975683332882
"CBF1_input",83.2005201490247,79.4143982394324,65.7432972943437,61.0382535054855,82.8990700880063,79.9681559857572,56.8496724363693,66.8524226803745,54.9015564581395,43.5349457606688,47.8068296431795,69.9260095188497,41.8333994428306,71.3199584746162,108.490194446172,84.0806720107416,54.9558869256236,56.8019477083603,96.7029102963549,60.5472762944003,54.399737545756,107.68894785334,53.8284499593153,52.5265355404466,98.7548309053208
"CDC36_input",12.8837053258308,13.7186040386846,10.0256259039724,25.9008059532261,20.7091563398796,14.5617983782766,7.08395649237778,15.5611008025645,14.1500552500622,13.3024124358554,13.4160528833671,11.2200258358258,11.7382224440678,13.5815808991256,21.8718840416585,13.5703267958183,20.6643473428648,14.2789417156442,13.7358332160499,10.9105343203735,20.3468042160024,22.3688369244434,11.5627640703753,13.5406118677789,11.8561968672223
"CDC39_input",22.5293099272728,24.5806266699031,13.4129712204359,18.0518525620947,14.9815320864616,14.3393079317046,12.9001451463478,13.6576682729574,24.3361892290631,23.1653632081388,30.6280086749604,13.3903633307568,12.2702046682307,14.1664764569192,14.3172247191886,17.0260634165724,25.325151696888,10.0590830648554,15.4498180939227,13.1681866562916,24.2694439594006,15.8311424541847,24.616626300547,14.9338165131927,14.3583831363088
"CDC50_input",21.1089904254361,29.0912137078391,17.0992020189643,43.1783821702495,27.5401193063344,23.543876980398,18.8715100423967,33.518721940113,33.702388587732,19.0210767745341,22.0747521749476,20.9829134637056,21.0867965169962,26.5031539423704,22.8052539238542,19.1842400373115,19.4118551063403,20.0146881593675,22.9002554855082,9.26767640442331,23.0606934928564,33.3264723590542,21.7734946956547,34.688819333869,27.8432903944476
