"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"ABF1_input",40.6460574312901,39.1493562519857,108.744945769974,65.9760057899882,68.7503333665327,108.88696730038,41.4993227267712,56.7939690556051,59.3349607243724,61.3205179066961,85.0636680940193,61.6964411909821,31.9965578716749,49.4011436906034,62.3796282109018,52.1843947271281,51.2425331105208,97.5329045922173,88.9673905904668,65.6961804013588,59.1422855357965,76.1164983873945,60.5543536844169,75.8803263220391,63.6786395280907
"ACE2_input",19.669930790965,16.1906320249911,48.4276833640722,22.1105977723897,30.9544186198541,33.2353301561061,30.2282450451084,17.5528567288765,18.5559802141878,15.9990916073619,11.6142509215849,19.37708068934,26.5024693934224,29.933444134331,24.6812138044453,29.1436253538417,15.145084038427,20.0069818231072,14.9336172600358,19.8902310814869,18.5103789478149,16.9191099919294,17.9805039544354,16.6731584449967,21.3475654366411
"ADR1_input",63.5301751886651,40.4210916605081,73.802130315065,34.5606886814044,39.8488319392157,53.2961499712164,35.0364852334742,38.5269024836703,35.1405076666046,43.3030547751055,31.9418222536375,45.294843789727,33.630561350866,55.1250479365296,73.6557116628448,53.7799347447262,47.5192135926913,69.8467390352228,24.2098679081714,27.0644261140247,28.7572288905985,35.7137819295404,19.4906859899129,37.7167972856871,41.8701733631197
"CAF16_input",28.7511127073365,30.3643317550212,54.289938235868,44.8194558434689,45.9078458065596,46.1746549343429,44.266227137945,27.2013245951963,45.0702064158387,21.4617243821351,19.2176040510667,23.3695091154161,41.0920448609725,20.7759370822415,31.9907224424485,28.5409169694271,16.3008830311393,30.9293937832524,45.6785796867433,42.7000796649236,31.5113852907138,36.9998805637159,26.5219691342697,48.0331824650029,41.695651197346
"CAF4_input",15.2237749669656,21.0310351882089,38.5512287783658,20.6281749800787,17.9433597809382,22.5428164660668,36.7101221894803,19.2144382450538,28.4359470241729,21.6720202738778,33.8075463328958,19.1031808938927,31.1898171841297,28.1961852778322,22.4345729108282,23.3192247362187,28.3756882088159,39.3745304279905,17.9857603391353,16.8899214794075,21.2183955345451,20.4909651643672,17.9285987095865,21.3478589336589,14.1863941107905
"CAT8_input",27.729909454842,47.3909807258616,42.4360129790558,29.8525544259435,65.1522252531955,37.1580763665437,55.9253819144174,36.9062390908618,32.6369973803982,36.5374990224662,57.8849170156227,28.4237125403557,34.2875570705472,42.7224615372112,38.49213483847,56.0760102006084,24.7835714435234,35.9864139508266,30.6982622973108,59.2473950779669,36.2966142864152,35.4266190379677,33.1597429257239,33.2518470554293,36.0207339971489
"CBF1_input",51.8198832319511,54.4938810668236,108.829220829626,52.2673470661969,52.129815614953,86.2075536136298,89.6006751618905,59.0843849865388,51.3260539886603,94.3586143061013,60.3829037643996,82.989223062452,36.8566579058549,57.4889754382304,49.5364648985793,86.1286424552076,52.4484807453128,55.679567043974,56.2027430275082,48.2164145709519,90.8764518987542,98.4440896195147,56.7154067972967,52.8348328482569,58.6538002654892
"CDC36_input",21.8198792591105,17.895463181125,15.263425225009,14.4361405047006,10.3480490717029,14.0858792460161,12.6874291260601,12.4307048559167,13.6541207101931,11.0894465097924,20.2809732325552,15.82219657217,19.6217082679094,16.8058111909849,19.0741736775221,10.555554681662,18.665747003933,23.925037878106,12.5102451149147,7.84674545275948,14.4137962524003,15.8158372554743,11.8353868422207,13.9605221305809,13.4440664092392
"CDC39_input",25.1380612873077,12.4413019137418,12.0888295890708,20.0745288534929,8.94607118649188,15.3608826731181,23.5260140281446,18.7028747317278,21.3579595478045,14.4359866293796,19.6560142337491,13.696322915489,13.0166137283344,13.1028263700951,14.009363965917,14.4346417542465,12.4302935100648,27.4717707049728,12.4817837772055,16.6786388126578,13.8472884377538,15.8980726278919,11.9845194303836,19.8509448179606,23.125148035246
"CDC50_input",13.1432741051477,20.2394927983079,39.5544318941136,13.9299768288635,30.8995712972318,17.0177570878745,18.4684205990206,31.5250526360884,30.8703748432671,27.1043237549595,14.4604399712732,21.5441919546009,11.5164249017044,30.024750120599,43.4588255736441,20.1276282425088,11.8903195180904,37.3675472674047,30.459294790303,16.4500517179639,26.6639702726967,15.5632191453961,29.0437062117981,18.4730624730897,14.0170248314517
"CHA4_input",10.8851065376764,9.03784954042376,31.8312418485307,19.4284821258808,26.6120733223312,16.5557370387342,11.2774459624224,21.1411962377841,24.17393658021,15.2724358065836,14.1271610451982,13.6662443873084,10.951875415421,14.0186334651162,18.6165822386105,12.6944675178148,25.6790673664124,14.5857993255339,15.0212280378454,24.3940537851975,16.7009386003979,17.1603625499195,11.3552468911582,25.1026569344841,15.5060960855613
"CIN5_input",24.2201345832238,23.1639839000964,12.9826836798273,18.4379061088583,23.1538092792398,22.6662472077434,28.8132868406099,17.2877609857843,23.930158907069,27.3348867140707,16.8255829581882,26.0866631350775,27.801560519118,16.3254744582082,17.3662546941477,29.0129738169549,16.4549689231638,17.6974494888877,11.960526844473,22.450963519854,20.0189973021479,19.7428025289914,14.2283472267415,15.9305546180809,16.4010430102321
"CRZ1_input",32.55070686824,52.8415565479714,34.3656868399437,48.2051042434272,26.5843338418886,35.2417769674472,41.530310269844,25.9593288455087,27.2497113284136,49.7866478627123,54.5380899366053,57.873006825234,49.356706833361,42.9952447510232,59.8562559730739,55.0651464294077,36.0051612896231,34.9261413169483,31.1230260025542,27.0065002247572,33.8238621776025,52.0551723137793,36.0999112789962,53.2968105137272,31.9327598580366
"CUP2_input",33.654755992122,31.007134505174,34.2086073753164,37.3648384932563,51.9013208613858,41.4123375308112,38.0539767311415,44.3471146389496,39.7590708314529,39.6917240879845,18.9279087137537,31.809857896473,34.1729624466146,56.3720041548105,38.3602578928443,24.8107091961205,38.2564944091641,37.2843286085352,25.2667709134073,26.5070537093802,28.9159269964718,35.7726212722663,65.2938298795277,17.9692391233467,36.6570320176506
"DAL81_input",26.3846236564637,17.9108231700998,35.2133691192093,26.8745118941732,33.2865971364348,19.8173873277626,35.6223382269053,14.5316875099266,27.751322847744,19.1317393277285,11.6320946648628,20.6225569890535,31.31348761935,9.91622484858307,14.7222328151167,30.4287928373465,29.7538848310719,16.5724903389248,18.7135660032053,21.1553994086176,14.3817397558169,29.624390943452,19.4500443448795,23.8762003863514,35.3984859726674
"FKH2_input",21.8336970258243,13.1259367074325,13.531006800872,14.9713588873296,25.4422001308491,17.3344801714405,25.1315485528811,21.2692196160153,16.3701377797705,18.4465840989615,15.9855355286113,16.6073085640461,15.203884829088,13.4212016207344,15.0985144326632,26.8025362891309,13.1774042256327,28.4657008030983,16.4492202903134,26.6199646594086,23.904765279226,9.13351908068856,14.1053929882228,16.9665600118438,24.9310881630446
"FLO8_input",26.8010035698065,14.3944544476699,43.4769790490172,21.241862090541,17.5374536089294,24.893008832803,27.0363057385158,22.9923732276008,23.8996002870942,21.9633754797275,28.0506066132951,24.8655663819389,18.8956476954812,27.2475796809446,24.8558418744098,24.3627369354505,22.7298409165937,22.6098667353581,31.0818395287232,26.6675804688224,21.8712101309838,36.5771690924849,33.4373771787732,23.7498787836373,23.9972927018726
"GAL11_input",26.1638994924499,50.1196339329884,60.0031670454213,28.4234280017982,61.7569665341022,76.781906323317,63.177836682866,45.2973930245785,43.5851740533498,29.3995291458899,29.6374177781726,79.6107965546321,36.8677166674962,32.1916968549975,68.1893071235181,29.7326882026903,42.9877176919438,63.4096041790682,62.7797842103894,49.7575869784098,35.3052287582475,39.5817542440162,39.8421399219549,60.7420618767042,47.8341181807176
"GAL4_input",67.3905747608337,107.475540483851,106.89093624212,69.2675762826977,78.6454757883521,76.3032931108466,81.0912385788837,142.386050176637,126.921835145875,77.1052211551667,85.9294274120617,74.5838987026,64.8981190006756,75.838313523252,136.418241807352,97.7749383030521,63.8485647699102,69.1960823242187,69.9806785485961,65.4680124391496,64.8387528029576,66.2752062565123,70.4475873359368,56.5106447144145,85.8502023365748
"GIS1_input",44.8234025543726,26.6233620183295,62.5620655407133,23.814646583948,38.6090825648452,29.0057464454779,23.3176027101522,23.2385007643177,42.8933668600452,38.4326047047057,17.2060156068681,46.3183313009363,16.5919696844918,34.6527815037225,30.260859451213,33.5009332829116,21.6238070781798,26.0323851290858,14.6408265753207,14.0381932402412,19.5218400381244,39.1623348467877,11.7633513528519,39.289899869124,23.5014499127662
"GLN3_input",102.81279242766,147.472757927513,112.650124178547,78.4336285172588,108.792827914853,109.141311513379,147.978663133774,98.1682768045621,152.021824106439,90.7952919901938,57.6802049927388,103.152897410383,144.697959143469,147.370562875681,153.096468376147,153.612464947817,120.400556155248,175.662153794341,127.689462024258,117.47984046901,101.814036809124,148.341697648391,63.4063304756153,95.3113679087013,92.8884206139553
