"pathway","phnx_z_score","mean_path_score","sd_path_score"
"notch dn.v1 up",-0.396876829781482,0.13648329,0.0372994563783192
"rb dn.v1 up",0.209488131048111,0.03868721,0.0206827469333093
"rb p107 dn.v1 up",-0.556718862265802,0.11169556,0.0337613134275773
"rb p130 dn.v1 up",-0.427980083163071,0.09557449,0.0326521970291673
"cahoy astroglial",-1.13397855584338,0.09709478,0.0322182283004706
"rps14 dn.v1 dn",0.0303441115652155,0.21357348,0.0486591936239995
"il15 up.v1 up",3.18320041437055,0.15072506,0.0427698298182465
"il2 up.v1 up",2.42445749851977,0.13114163,0.0378964655210889
"il21 up.v1 up",0.469076108154017,0.15658455,0.0411776461521633
"tgfb up.v1 up",1.44300030549936,0.10802986,0.0360569154432678
"hoxa9 dn.v1 dn",2.80867345575262,0.14896642,0.0403512839016136
"kras.amp.lung up.v1 dn",-0.571073486958695,0.09149608,0.0306196669943893
"kras.amp.lung up.v1 up",-0.551895104695422,0.07497308,0.0298663276042222
"kras.300 up.v1 dn",-0.511857510522831,0.14188432,0.037010925131585
"kras.300 up.v1 up",0.305784397127533,0.13945718,0.0382714752941402
"kras.50 up.v1 dn",-0.931245670454851,0.05546119,0.0245597812968397
"kras.50 up.v1 up",0.0473603337366447,0.04979481,0.0231246258966414
"kras.600 up.v1 dn",-0.690508310400809,0.26418217,0.0553391891515679
"kras.600 up.v1 up",0.38709631775401,0.27694214,0.0564145381870499
"kras.600.lung.breast up.v1 dn",-1.39030713655982,0.27928613,0.0544887730256866
"kras.600.lung.breast up.v1 up",1.12668354612784,0.28503877,0.0533701146223869
"kras.breast up.v1 dn",-0.478053713390925,0.11156437,0.0333317565655426
"kras.breast up.v1 up",-0.68192087266467,0.10016034,0.0336114363392876
"kras.kidney up.v1 dn",0.800334640165769,0.09129786,0.0325640534496943
"kras.kidney up.v1 up",-0.778477055981541,0.19078304,0.0468903222253291
"kras.lung up.v1 dn",-1.47519278748069,0.16218956,0.0422043549347377
"kras.lung up.v1 up",0.196333668898641,0.12274182,0.0363064574710311
"kras.lung.breast up.v1 dn",-1.54624686222849,0.15612812,0.0405356489517249
"kras.lung.breast up.v1 up",-0.559473513043579,0.13463501,0.0363288154419151
"kras.prostate up.v1 dn",0.209374981710573,0.14353849,0.0404609468179467
"kras.prostate up.v1 up",0.561121077389941,0.07089671,0.0275578491400245
"lef1 up.v1 dn",0.299381095117322,0.21577955,0.04810073259421
