"sample","gene","early2cell","mid2cell","late2cell","4cell","8cell","16cell","earlyblast","midblast","lateblast"
"prcntl_0.5","Arpc1b",0.529756215767959,0.248084030834149,0.191494268858658,0.521081314843035,0.558244644800226,0.560163319857837,0.52445901952731,0.650557387027158,0.630462496978477
"prcntl_0.5","Fbp1",0.302550657290446,-0.229588057359719,-0.207640341477669,-0.16879842657486,-0.921034037197618,-0.250040261763036,-0.921034037197618,-0.921034037197618,-0.2224281290719
"prcntl_0.5","Ube2v1",0.150443642918976,0.227089860032659,0.232959564660422,0.571594273367641,0.625494312176275,0.554814804027437,0.520859367507317,0.575706274848349,0.629152140427827
"prcntl_0.5","Park7",0.377644279888902,0.20848819305915,0.493679180579437,0.571607983876712,0.556866927260959,0.512427656468625,0.571357440812688,0.613694800928629,0.567699883102026
"prcntl_0.5","Mylpf",-0.228157626211085,0.248321600397642,0.289656775522103,0.34697753830962,0.573804577618896,0.688701115807571,0.574903305858167,0.575214362034052,0.65706772394728
"prcntl_0.5","Klf17",0.612498592644737,0.637600965680891,0.625062202069607,0.653568626874075,0.268520011208394,0.234857917579733,-0.921034037197618,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Eif3h",0.201842134968654,0.551338592881688,0.646243005452555,0.649059091284825,0.632525925354596,0.598875432151727,0.574952168713545,0.534864323715457,0.591856246542638
"prcntl_0.5","Mrto4",0.282029877137231,0.38425868917446,0.506468125387314,0.59934316477413,0.662274575312214,0.632631052101983,0.582084201705444,0.480849799489196,0.55325260219525
"prcntl_0.5","Cox7a2",0.198755120166595,0.352196612803018,0.495000999137834,0.590565391503101,0.580229629744527,0.631684660376714,0.625222225021775,0.583246983415745,0.690664717321465
"prcntl_0.5","Tomm22",0.388452885528733,0.579581408556774,0.576885349037461,0.585520745944664,0.64011616094342,0.604990789360632,0.649121433241935,0.61647495845583,0.638154810078191
"prcntl_0.5","Plp2",-0.921034037197618,-0.921034037197618,0.165472587864989,-0.921034037197618,0.520347217531127,0.573646274178786,0.668070265527914,0.550500207635351,0.677105092340193
"prcntl_0.5","Pabpn1",0.519243473522266,0.698344750338102,0.671480801807968,0.590339715407509,0.532416967163992,0.49515137429367,0.408948645589657,0.506310145365414,0.502426832957954
"prcntl_0.5","Hmgb3",0.474011738656087,0.597219421609969,0.621638146519543,0.654130539415556,0.609652290443333,0.519951374599862,0.620958420428898,0.519002316039198,0.51432165905348
