"gene","early2cell","mid2cell","late2cell","4cell","8cell","16cell","earlyblast","midblast","lateblast"
"Gen1",0.269225222415678,0.136641453831114,0.052423905959636,-0.0553316728557712,0.0460951691897245,-0.0731184446791822,0.0975896858935436,0.114709189551485,0.0610783999184404
"Gigyf2",0.376414677961786,0.276902567407847,0.299994302840457,0.314268378295572,0.25827021797388,0.231136365671499,0.215992977268677,0.293413362560198,0.262736540572225
"Gins1",0.347352779023149,0.190741281954921,0.349658698886053,0.412422884597018,0.442215839427161,0.466705944000826,0.438957331798723,0.434984684629527,0.419314450973997
"Gins3",0.12574558410023,-0.104458975293111,0.3087236447368,0.362670850735763,-0.0187725284792392,-0.193894093910305,0.0430844755978829,0.0301599542189265,0.0878556779888828
"Gipc1",-0.921034037197618,-0.921034037197618,-0.485657634828,-0.921034037197618,-0.921034037197618,-0.921034037197618,0.0561219832262474,0.270690048998426,0.248412045263266
"Git1",0.330900687952386,0.267236915156585,0.209602395074338,0.0740430659887706,-0.0548037716949024,0.0851576364018856,0.0387653235008268,0.0649074694063597,0.123656193051103
"Gjc2",-0.921034037197618,-0.921034037197618,-0.546233195861753,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Gli1",-0.921034037197618,-0.921034037197618,-0.129577815583436,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Gnai1",0.275833033788555,0.279140695206297,0.103204221902682,-0.0287840520942747,-0.345335654994086,-0.355916880811272,-0.363123654775234,-0.921034037197618,-0.328512504709284
"Golga2",0.391780968844203,0.243922247275141,0.150751558900032,0.298893405948692,0.270065419307847,0.275927654216244,0.109603809704633,0.101569524920574,-0.083913204705092
"Gpnmb",0.279049108753723,0.193797146568085,0.149824444060204,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Gpr3",0.382656707127095,0.334072437855665,0.369993544152336,0.276738958255254,0.094540029202935,-0.0523789102124328,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Gpr132",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Gpsm2",0.112279224226969,0.0884840673027402,0.0245864890701242,-0.0299501054941421,0.155805662809344,0.0038107361674777,-0.0333629015521271,-0.921034037197618,-0.0251170301458533
"Grb14",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Gsk3b",0.215883220160009,0.284713025826677,0.315592479852013,0.331684654285633,0.325767350279316,0.316295389577734,0.338319921091418,0.346190667206038,0.353855171764283
"Haus1",0.320432303775199,0.30101178263842,0.202929319403002,0.324826736063994,0.383530484854885,0.405371285308949,0.505425663205043,0.522851699655137,0.475254498401597
"Haus2",-0.19929384255954,0.194317522134623,0.273378978239863,0.337246300644814,0.351229221657385,0.38983155959403,0.312671636170403,0.292075620765436,0.228641248068767
"Haus3",0.319697569550383,0.408974775272618,0.481706729287283,0.491020713429189,0.360727344571337,0.378466332673083,0.338053863665246,0.283298883338499,0.394533388248525
"Haus4",0.474676329824349,0.448828382713563,0.366222277457433,0.349650526939416,0.36593959954212,0.356921829142184,0.304074636233024,0.301680103110122,0.196148303430716
"Haus5",0.387154507386561,0.340778444109293,0.198635099331847,-0.0745586738898126,0.306434785059568,0.333744199841426,0.391026109569138,0.416653644861211,0.339346289500378
"Haus6",0.327276254238634,0.404402554592499,0.45255119473669,0.466677017672581,0.347264692314853,0.268233162337088,0.31121584271577,0.26747557664592,0.291047169545205
"Haus7",0.408794361119621,0.252196246161317,0.207529528031657,0.10439847967322,-0.225920910974373,0.0774980672140867,0.349313659249769,0.396747718622313,0.271755585259191
"Haus8",0.0676282313054078,0.229015245755077,0.119219693673482,0.225229062252156,0.377648454530707,0.349350264713927,0.426882752844845,0.43147419174907,0.394501363078186
"Hdac3",0.129933324809973,-0.135551160503496,-0.0175955295632007,-0.290008727635999,0.290110904413971,0.29708966541135,0.263609345588482,0.357599552268966,0.375728899389503
"Hdac8",0.109584429182705,-0.00698719371133755,0.0352416168614794,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Hecw2",-0.328486710674035,-0.0813292930069978,-0.389670006990054,-0.216596058641565,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Hepacam2",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Hfm1",-0.0621353429788325,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Hinfp",0.141930019374213,0.278225990277274,0.423942202425716,0.35836628692323,0.229499544267318,0.140925613960513,-0.921034037197618,-0.232529576105334,-0.921034037197618
"Hmga2",0.0876369435869848,0.123654095619964,0.0865229665565893,0.23485135669406,0.501687750822275,0.508328820428915,0.477352348196255,0.465790683923416,0.405200060156227
"Hnrnpu",0.494414953395256,0.562840536573567,0.570883720496309,0.57402419726291,0.519469950323365,0.531572638750184,0.535069248592736,0.534979773162278,0.508722545429789
"Hormad1",-0.0903168885963444,0.351866629380617,0.320143617957049,0.34571847127333,0.336724403560724,0.132216289005153,-0.921034037197618,-0.106224235032726,-0.921034037197618
"Hormad2",0.235360210043797,-0.128326218192231,0.0392582008782981,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.180315696244828
"Hoxa13",-0.335048275592734,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Hsf1",0.494720273569504,0.521981565675152,0.510421074710445,0.408136340510876,0.282877825361918,0.200751882143262,0.299050251727929,0.293299855609002,0.29176593810958
"Hsf2bp",0.435751705310969,0.312879059568925,0.202566869544677,0.0929517492903291,-0.174901870391682,-0.921034037197618,0.161952869058646,0.249940084089128,0.102249653108356
